sector,State,m_poor_1_33_2019,m_poor_1_20_2019,m_poor_1_33_2015,m_poor_1_20_2015,mpi_edu,mpi_att,mpi_cm,mpi_nutri,mpi_elec,mpi_toilet,mpi_water,mpi_fuel,mpi_asset,level,area,bpl,aadhar,household_has_preg_benefits,household_health_met,household_angan_benefits,dem,food_pds_subs,kerosene_pds_subs,food_pds_free,lpg_subs,elec_free,pmjay_ben,pmjay_ben_avail,real_wage_23,JQdim365,JQdim215,POV_365,POV_215,lf_cws,emp_cws,unpaid_emp,unemp_cws,neet,lfpr_female,unemp_female,poor_300_2011,poor_420_2011,poor_300_2022,poor_420_2022,poor_300_2023,poor_420_2023,fhiscore,rank202223,totalgva,india_gva,state_share_india,welfare_agg21_sp,india_welfare,welfare_pct_india
Rural,Jharkhand,0.37,0.62,0.56,0.76999998,19.09308136,9.876748919,2.933307365,44.54879463,7.101714611,49.22611117,21.39280289,80.99973798,18.17337722,State,urban/rural,0.658262849,0.993715703,0.412290663,0.284961432,0.365065902,All Households,0.253370166,0.049511101,0.645756066,0.111103013,0.521584094,0.026327496,0.008266612,8344.445313,0.713271856,0.868457198,0.522453606,0.38510856,0.568713069,0.561259091,0.2527574,0.013106771,0.277189672,0.377378017,0.000734502,0.50999999,0.86000001,0.19,0.47999999,0.10587313,0.37774616,51.599998,4,1657278.9,93310664,1.7760873,2584.0637,,73.475685
Urban,Jharkhand,0.090000004,0.23999999,0.17,0.36000001,6.564608216,3.747869655,1.371333655,26.47223473,0.970602501,24.03633446,9.443743527,30.07454574,6.612185389,State,urban/rural,0.400827467,0.995393038,0.209376529,0.158852518,0.218258947,All Households,0.161281437,0.008160805,0.343928486,0.259937346,0.231355682,0.009454653,0.003852522,14546.05371,1.453377128,1.582600117,0.27769348,0.174919367,0.430602163,0.398199797,0.081873693,0.075249009,0.281655759,0.178260371,0.066910453,0.27000001,0.47,0.079999998,0.25,0.049220495,0.18366955,51.599998,4,1657278.9,93310664,1.7760873,3392.9473,,96.475609
All,Jharkhand,0.31,0.52999997,0.47,0.67000002,16.16994292,8.446761966,2.568868361,40.3311789,5.671206489,43.34884286,18.60485375,69.11789179,15.4759258,State,All,0.596288681,0.994119465,0.365145624,0.255127639,0.330956787,All Households,0.235035673,0.04127842,0.585663378,0.140735343,0.463800788,0.022968179,0.007387784,9001.705078,0.821880519,0.973255932,0.486535668,0.354263812,0.540643215,0.52811873,0.226570636,0.023165988,0.278074771,0.3382999,0.00757798,0.46000001,0.76999998,0.17,0.44,0.093379855,0.33494759,51.599998,4,1657278.9,93310664,1.7760873,2690.9507,,76.514923
Rural,Karnataka,0.12,0.34,0.25,0.47999999,8.99618715,2.896650881,1.486914326,34.04883146,0.965845026,31.60350025,8.834403008,31.60321414,9.316128492,State,urban/rural,0.898406088,0.990780771,0.320862621,0.625177026,0.312591672,All Households,0.085206337,0.016755449,0.835317314,0.133840382,0.930778384,0.280608505,0.006257988,12433.63672,1.049387455,1.20592773,0.363296717,0.241090968,0.57575959,0.563005686,0.205804899,0.022151528,0.24458608,0.402338833,0.012647348,0.12,0.5,0.01,0.12,0.00725942,0.076176755,40.799999,10,5741303,93310664,6.1528907,3687.9111,,104.86266
Urban,Karnataka,0.029999999,0.14,0.059999999,0.19,4.250061885,1.872494631,0.975003466,23.47487807,0.762382615,16.2456736,4.244762287,5.40342629,4.129796848,State,urban/rural,0.654316723,0.989883184,0.25898999,0.471991211,0.259583265,All Households,0.070001602,0,0.484859794,0.077627353,0.73321265,0.146616295,0.004899776,18512.86523,2.0781703,2.214117527,0.174522802,0.090764612,0.51067394,0.486874551,0.045683905,0.046603858,0.243029267,0.275690585,0.047220897,0.15000001,0.37,0.01,0.07,0.013836002,0.044797584,40.799999,10,5741303,93310664,6.1528907,4663.4043,,132.59998
All,Karnataka,0.079999998,0.25999999,0.17,0.36000001,7.159145921,2.50023976,1.288773492,29.95606363,0.887092669,25.65908134,7.057931274,21.46229446,7.308701426,State,All,0.797524929,0.990409791,0.295958906,0.562255144,0.291255802,All Households,0.079597451,0.010574514,0.706036687,0.113103896,0.857898176,0.231179982,0.005756956,13950.64355,1.402538419,1.552009702,0.298496157,0.189488336,0.551109195,0.534171879,0.150530577,0.030733071,0.243951082,0.354856253,0.022717787,0.13,0.46000001,0.01,0.1,0.010055553,0.062835425,40.799999,10,5741303,93310664,6.1528907,3985.2063,,113.316
Rural,Kerala,0.01,0.11,0.01,0.13,3.024294227,0.252875197,0.195382442,17.74909794,0.677732704,1.548038423,6.807506084,33.38807821,3.71302478,State,urban/rural,0.508200169,0.990635574,0.250004321,0.579134226,0.228476122,All Households,0.792222917,0.079280649,0.163731813,0.002312983,0.002707586,0.35530138,0.039109584,14366.95703,1.328903794,1.438145995,0.229978904,0.134191349,0.523710191,0.470901161,0.048670925,0.100836374,0.326643258,0.354480565,0.147422746,0.059999999,0.25999999,0.01,0.090000004,0.003550329,0.029172203,25.4,15,3264067.8,93310664,3.498065,4379.9087,,124.53902
Urban,Kerala,0,0.07,0.01,0.090000004,1.897353679,0.247456715,0.21288672,15.19066095,0.105399278,1.028609928,3.85613367,22.41734713,2.349067852,State,urban/rural,0.407447875,0.987727821,0.213398501,0.552861214,0.209797964,All Households,0.758688509,0.077091311,0.139763057,0.000990137,0.00247809,0.262748957,0.034277197,16106.4668,1.548016191,1.703072548,0.228839949,0.122384101,0.492606878,0.44460538,0.033183947,0.097443797,0.232500538,0.314008415,0.143936276,0.07,0.25,0.02,0.1,0.003120811,0.021621449,25.4,15,3264067.8,93310664,3.498065,4715.4678,,134.08037
All,Kerala,0.01,0.090000004,0.01,0.11,2.489135414,0.250302069,0.203694846,16.53415412,0.405944418,1.301373448,5.405965447,28.1783253,3.065312095,State,All,0.46051532,0.989259362,0.232613415,0.566689074,0.219602406,All Households,0.775684059,0.078200888,0.151910648,0.001660568,0.002594401,0.309655368,0.036726296,15550.59473,1.425008297,1.554344893,0.229479358,0.1290126,0.508893549,0.458374679,0.04151503,0.099271975,0.281625837,0.335065246,0.145855322,0.059999999,0.25,0.01,0.090000004,0.003334759,0.025382565,25.4,15,3264067.8,93310664,3.498065,4534.4487,,128.93324
Rural,Ladakh,0.079999998,0.22,,,4.101693258,3.038706258,0.794393569,15.0974378,0.409039203,65.03844857,17.71396846,29.70548272,3.817862645,State,urban/rural,0.644899487,0.993881404,0.237922609,0.246585757,0.250852823,All Households,0.725691378,0.072636703,0.30318886,0.792614698,0.00128458,0.84341687,0.076640829,,,,,,,,,,,,,0,0.18000001,0.1,0.28999999,0,0.085847668,,,0,93310664,0,3672.3826,,104.42111
Urban,Ladakh,0.02,0.12,,,4.174116999,1.996250451,1.369251497,13.21596652,0.885006599,25.63971579,5.750546604,1.661770791,1.110822055,State,urban/rural,0.524528384,0.98178798,0.23476027,0.283043563,0.273561597,All Households,0.739887714,0.005891973,0.159328431,0.688148797,0.008619955,0.90299648,0.111338668,,,,,,,,,,,,,0.02,0.11,0.039999999,0.13,0.001866181,0.061075587,,,0,93310664,0,4491.1709,,127.70267
All,Ladakh,0.07,0.2,,,4.115407541,2.841305174,0.903249532,14.74115849,0.499169109,57.57784247,15.44855535,24.39508289,3.305253386,State,All,0.621846259,0.991565287,0.237332523,0.253428161,0.255090237,All Households,0.727912366,0.062194842,0.280682653,0.776271522,0.002432161,0.852737784,0.082069129,,,,,,,,,,,,,0,0.17,0.090000004,0.27000001,0.000341183,0.081318736,,,0,93310664,0,3792.3477,,107.83222
Rural,Lakshadweep,0.01,0.28999999,0.02,0.28,1.157868002,0,1.483408082,32.23680258,0,0,13.67131621,65.71909189,5.230275542,State,urban/rural,0.403519869,1,0.384087861,0.354081988,0.154159158,All Households,0.688186944,0.124513756,0.290778756,0,0.006939218,0.241684094,0.010186769,19916.52344,1.985047698,2.043581724,0.220313087,0.161778986,0.563262224,0.480066299,0.010486669,0.147703722,0.380329669,0.186664611,0.53611207,0,0.039999999,0,0.029999999,0.007753326,0.047564115,,,0,93310664,0,4242.9927,,120.64594
Urban,Lakshadweep,0.01,0.11,0.02,0.23,2.031031065,1.06705809,0,22.52783626,0.280654849,0.258812262,5.500007421,26.89931393,0.726426952,State,urban/rural,0.360866219,0.991919816,0.349784911,0.38283056,0.267894328,All Households,0.684392631,0,0.266696304,0.004173732,0.009561162,0.332731277,0.033272315,17984.21094,1.82718575,1.900794506,0.187123939,0.113515206,0.445991516,0.35610047,0.016200854,0.20155327,0.463149905,0.153031424,0.357038826,0,0.12,0,0.029999999,0.003304876,0.022504834,,,0,93310664,0,4614.0625,,131.19699
All,Lakshadweep,0.01,0.15000001,0.02,0.23999999,1.841858216,0.835877471,0.321383798,24.63130653,0.219850335,0.202739984,7.270339876,35.30970812,1.702196151,State,All,0.369686723,0.993590772,0.357742995,0.376546532,0.241508469,All Households,0.685433149,0.034145932,0.273300529,0.003029152,0.008842135,0.30776301,0.026941467,18773.75586,1.866295338,1.936169386,0.1953464,0.125472337,0.479834616,0.391875714,0.014180684,0.183310881,0.438872188,0.161872566,0.411321342,0,0.079999998,0,0.029999999,0.004390585,0.028620917,,,0,93310664,0,4497.7461,,127.88963
Rural,Madhya Pradesh,0.30000001,0.55000001,0.51999998,0.74000001,14.42513317,7.59947747,2.522900142,37.08815873,1.916547492,41.1003679,26.98260844,76.19312406,19.56893355,State,urban/rural,0.60667628,0.993142366,0.374136984,0.351269871,0.353506655,All Households,0.526515543,5.79614E-05,0.68783468,0.22858198,0.435009956,0.556078136,0.018922452,8385.904297,0.638526261,0.852951527,0.557565928,0.386835903,0.648639143,0.634649575,0.314786345,0.021567548,0.274732232,0.443824202,0.02479808,0.47999999,0.77999997,0.059999999,0.27000001,0.018714443,0.17959478,42.200001,9,4362210.5,93310664,4.6749325,3117.144,,88.633377
Urban,Madhya Pradesh,0.079999998,0.2,0.14,0.31,5.586902797,4.282737151,1.729864627,27.56816447,0.592371915,19.39739883,6.570769101,16.73149318,5.863102153,State,urban/rural,0.418589652,0.993081272,0.311103195,0.303259879,0.295631111,All Households,0.261120856,0,0.387296736,0.282761455,0.222308233,0.304261744,0.021032916,11386.66992,1.306053877,1.580328345,0.378058314,0.188640043,0.508999884,0.48301506,0.116961695,0.051050827,0.285603493,0.246896639,0.044524159,0.28999999,0.54000002,0.029999999,0.22,0.013150139,0.089502007,42.200001,9,4362210.5,93310664,4.6749325,3763.116,,107.00105
All,Madhya Pradesh,0.23999999,0.46000001,0.41,0.62,12.15338409,6.746953726,2.319061011,34.6411705,1.576185971,35.52190959,21.73601836,60.909307,16.04603231,State,All,0.555571079,0.993125796,0.357452005,0.338254362,0.338187069,All Households,0.456511647,4.26727E-05,0.60856092,0.242873058,0.378905028,0.489655823,0.019479135,9040.757813,0.778704226,1.005697489,0.519870102,0.345215619,0.61177808,0.594622076,0.272367388,0.028042844,0.277495354,0.390901774,0.02814636,0.43000001,0.72000003,0.050000001,0.25999999,0.017130358,0.15394658,42.200001,9,4362210.5,93310664,4.6749325,3248.5481,,92.369743
Rural,Maharashtra,0.13,0.34999999,0.27000001,0.51999998,7.949101925,2.554779686,1.238154341,36.51149869,3.278157488,30.63382506,15.90530425,33.14446509,13.72487098,State,urban/rural,0.471252531,0.993583739,0.268439442,0.29127115,0.283241004,All Households,0.209094569,0.00012587,0.647858918,0.294759631,0.00740596,0.186759412,0.007974937,9486.90625,0.773937047,0.9502244,0.478932381,0.339801729,0.608268976,0.585096836,0.210732073,0.038095225,0.236161709,0.441891104,0.032487638,0.23,0.63,0.079999998,0.31999999,0.02730496,0.18425661,50.299999,6,10582448,93310664,11.341092,3139.908,,89.280647
Urban,Maharashtra,0.029999999,0.14,0.059999999,0.20999999,3.272286803,2.077288553,0.943500735,26.98190808,1.008020714,25.41642785,1.313090045,3.233408928,5.306760222,State,urban/rural,0.215830892,0.992288351,0.102757417,0.13346304,0.135409519,All Households,0.08064492,4.75E-06,0.274782091,0.191050753,0.008149046,0.052490145,0.004384479,16500.51758,1.786944866,1.893371463,0.170072168,0.096875414,0.530991673,0.494394124,0.050061513,0.068923064,0.246239498,0.28497687,0.075139187,0.11,0.34,0.039999999,0.18000001,0.017316159,0.091357999,50.299999,6,10582448,93310664,11.341092,3945.396,,112.18402
All,Maharashtra,0.090000004,0.25999999,0.17,0.38,5.909208953,2.346511744,1.109634805,32.35496283,2.287988551,28.35814357,9.540596604,20.0981155,10.05313173,State,All,0.350047231,0.992969036,0.193928286,0.218120635,0.216757655,All Households,0.153512821,7.34608E-05,0.486423969,0.249883533,0.007727502,0.128659442,0.006421301,12578.85645,1.151585698,1.3018291,0.363789499,0.249238953,0.575214446,0.546299696,0.148536742,0.050267737,0.240619823,0.375833869,0.046102285,0.18000001,0.5,0.07,0.25999999,0.022713564,0.14155537,50.299999,6,10582448,93310664,11.341092,3412.8032,,97.040192
Rural,Manipur,0.13,0.33000001,0.25999999,0.51999998,6.122110784,2.741150185,1.950442232,19.55923736,2.550497651,32.6405704,34.33010578,37.95093,15.46176523,State,urban/rural,0.47183612,0.985730112,0.200224757,0.105901547,0.256355196,All Households,0.386202067,0,0.378250837,0.319682211,0.042353041,0.19717145,0.035626151,13632.54199,1.323462844,1.478889108,0.237799406,0.128076747,0.593177915,0.564634204,0.110057056,0.048119999,0.183202505,0.477174699,0.047846511,0.51999998,0.81,0.090000004,0.36000001,0.034720853,0.21009074,,,121851,93310664,0.13058636,2971.6077,,84.495171
Urban,Manipur,0.039999999,0.18000001,0.14,0.33000001,2.062277682,1.650947332,1.192486845,15.05389363,0.943857525,39.60961998,14.30035979,13.66547048,7.961690426,State,urban/rural,0.388102442,0.990041196,0.166925564,0.074272476,0.214059725,All Households,0.436716855,0,0.322364956,0.288721114,0.011278241,0.212797552,0.023415526,14382.69922,1.539057016,1.705282688,0.217603907,0.110802166,0.564751446,0.524533987,0.070805699,0.071212657,0.199025527,0.449388683,0.087755702,0.56999999,0.83999997,0.050000001,0.28,0.010764297,0.086180083,,,121851,93310664,0.13058636,3632.0813,,103.27518
All,Manipur,0.1,0.27000001,0.20999999,0.44999999,4.585440457,2.328502201,1.663551666,17.85393804,1.942375116,35.2783978,26.74873173,28.75874341,12.62294352,State,All,0.44009617,0.987364233,0.187797368,0.09383788,0.240570351,All Households,0.398545712,0,0.364594728,0.312116653,0.0347597,0.200989798,0.032642398,13764.89648,1.38381505,1.542264462,0.232145995,0.123240992,0.584790409,0.552802205,0.099067777,0.05470024,0.187764511,0.468896121,0.059242412,0.52999997,0.81999999,0.079999998,0.33000001,0.02827836,0.1767682,,,121851,93310664,0.13058636,3122.2805,,88.779427
Rural,Meghalaya,0.31,0.54000002,0.38,0.63999999,19.68111992,8.548030257,3.407267481,37.41672635,9.451977909,16.70733243,26.7067641,78.37452888,42.34455228,State,urban/rural,0.649825096,0.435515434,0.382556766,0.301789641,0.416222155,All Households,0.50945729,0,0.249105245,0.005700628,0.003364121,0.268942952,0.034678195,10842.17773,1.133715391,1.244357824,0.371481806,0.286620229,0.797764361,0.756694973,0.08957985,0.051480643,0.137791321,0.749868512,0.067580089,0.19,0.68000001,0.11,0.37,0.043495033,0.19548583,,,165283.95,93310664,0.17713298,3045.0615,,86.583763
Urban,Meghalaya,0.079999998,0.2,0.1,0.23999999,4.203071818,2.398160286,1.147869509,24.30988401,2.95551084,18.61546189,7.683315128,22.49622643,15.31577408,State,urban/rural,0.403272778,0.635281026,0.117626116,0.135547221,0.160047948,All Households,0.273215145,0,0.077174693,0.000288597,0.007781105,0.227660492,0.03149825,16297.04492,2.164814472,2.360668421,0.19498381,0.079154804,0.578335702,0.496830463,0.037806291,0.140930682,0.179577023,0.476793766,0.207079917,0.12,0.31,0.029999999,0.1,0.013722678,0.040927507,,,165283.95,93310664,0.17713298,4641.9746,,131.99066
All,Meghalaya,0.27000001,0.47,0.33000001,0.56,16.72268361,7.372559607,2.975411899,34.91151631,8.210258931,17.07204729,23.07066917,67.6940918,37.17833757,State,All,0.596241653,0.478930652,0.331974477,0.267429739,0.367311716,All Households,0.476782262,0,0.225325257,0.004952081,0.003975041,0.263233125,0.034238372,11231.12305,1.269201875,1.39104116,0.348289967,0.25935927,0.760546148,0.712618232,0.083457448,0.063017771,0.144976333,0.701922655,0.084217466,0.18000001,0.60000002,0.1,0.33000001,0.038598366,0.17006558,,,165283.95,93310664,0.17713298,3154.8384,,89.705185
Rural,Mizoram,0.11,0.25999999,0.2,0.40000001,12.30338588,3.931168467,1.203467138,19.89585906,3.576026484,6.750414521,8.013633639,34.82204378,22.98332751,State,urban/rural,0.407192469,0.968287408,0.388379484,0.111274265,0.372321576,All Households,0.987715721,0.033532806,0.000429163,0.851335227,0.007031011,0.003531087,0.009127221,16865.61133,1.402199268,1.5023489,0.299307555,0.238054499,0.557470083,0.549700677,0.21743232,0.013936922,0.100326136,0.427512169,0.011616596,0.16,0.51999998,0.029999999,0.16,0.005489173,0.060652964,,,133113.56,93310664,0.14265633,3810.2019,,108.33989
Urban,Mizoram,0.01,0.050000001,0.01,0.079999998,1.969894581,1.246338803,0.689466158,12.31146529,0.46771043,2.871179394,2.054248191,1.949614845,3.391110152,State,urban/rural,0.143347487,0.968464136,0.284525752,0.080805518,0.265662581,All Households,0.976985633,0.013857061,0.000434834,0.862948537,0.011498551,0.005546316,0.004328109,22219.75977,1.944171071,2.007389784,0.157774344,0.121075571,0.525992215,0.507036328,0.100993007,0.036038321,0.098766878,0.408180803,0.042966682,0.090000004,0.27000001,0.01,0.050000001,0,0.006266156,,,133113.56,93310664,0.14265633,4844.1455,,137.73921
All,Mizoram,0.059999999,0.15000001,0.1,0.22,6.766407192,2.49256026,0.928050745,15.83192497,1.910502277,4.671809822,4.820425063,17.20806062,12.48525977,State,All,0.262047887,0.968384624,0.333677709,0.094449051,0.316142201,All Households,0.982798338,0.024515784,0.000431762,0.856657386,0.0090784,0.004454629,0.006927879,20342.49219,1.639719009,1.723683596,0.237280473,0.186788365,0.54306376,0.530174673,0.16646786,0.023733988,0.099606954,0.418367893,0.026084982,0.13,0.40000001,0.02,0.11,0.0028731,0.034732878,,,133113.56,93310664,0.14265633,4339.3813,,123.38667
Rural,Nagaland,0.22,0.38999999,0.31,0.5,13.23977113,5.18444255,1.866387576,21.59676701,1.976823807,9.556411207,12.16057613,74.71591234,38.79552484,State,urban/rural,0.786160767,0.970168829,0.130693078,0.120165087,0.291472852,All Households,0.60431695,0,0.37317425,0.206463724,0.004053052,0.608494282,0.011262729,12251.77832,1.163123727,1.306433916,0.408675283,0.310844272,0.753657281,0.706967413,0.176687747,0.061951023,0.279316574,0.658738673,0.061824817,0.12,0.50999999,0.07,0.30000001,0.022878207,0.12371922,,,102806.01,93310664,0.11017606,3376.9968,,96.022072
Urban,Nagaland,0.059999999,0.18000001,0.11,0.23999999,4.791303724,3.010908514,0.489116507,18.52908581,0.366269285,17.82462001,6.908296794,18.40990931,10.13154984,State,urban/rural,0.462333292,0.982881665,0.053964976,0.054810669,0.135963842,All Households,0.438140124,0,0.325886786,0.339700311,0.00249096,0.617376804,0.022190012,17984.21094,1.947655916,2.039114952,0.192751095,0.131421179,0.62934345,0.555123389,0.041229013,0.117932536,0.240542546,0.504466176,0.124731436,0.23999999,0.44,0.01,0.07,0,0.024780588,,,102806.01,93310664,0.11017606,4767.9146,,135.57166
All,Nagaland,0.17,0.33000001,0.23999999,0.41,10.50591245,4.481103644,1.420713402,20.6040889,1.455660909,12.23193929,10.46097949,56.49573207,29.52008545,State,All,0.681645453,0.974271894,0.106036387,0.098283745,0.241499797,All Households,0.559582174,0,0.360444456,0.242331028,0.003632537,0.610885441,0.014204354,13165.7793,1.344294667,1.475630999,0.358812183,0.269410342,0.717847824,0.663227737,0.144028068,0.076088704,0.266195804,0.615405738,0.076309092,0.17,0.47999999,0.050000001,0.23999999,0.015948333,0.093750425,,,102806.01,93310664,0.11017606,3670.9395,,104.38008
Rural,Odisha,0.23999999,0.44999999,0.40000001,0.60000002,14.92652148,4.302702472,1.709195971,32.89984763,3.462567553,42.15646386,15.20677209,74.4361043,13.75165731,State,urban/rural,0.533114851,0.994054377,0.42464301,0.576672077,0.400975883,All Households,0.342816979,0.018300157,0.517619669,0.323965788,0.009210025,0.727714598,0.030975351,7861.785156,0.678718686,0.896030724,0.537660122,0.357855946,0.597264528,0.569348097,0.232818738,0.046740457,0.341390759,0.403315216,0.035496645,0.47,0.79000002,0.1,0.41,0.07667961,0.28594795,67.800003,1,3078629.8,93310664,3.2993333,2881.6245,,81.936569
Urban,Odisha,0.07,0.18000001,0.14,0.28,5.966648832,2.07611192,0.927051809,20.24855912,0.975074153,28.25240791,5.217441171,23.31484854,5.001505837,State,urban/rural,0.294786185,0.994959295,0.322481364,0.429881752,0.287174523,All Households,0.214427367,0.001821514,0.28325671,0.590390742,0.011235856,0.42966944,0.016759202,14312.50195,1.517961025,1.700611234,0.303609997,0.171359286,0.516592681,0.474537104,0.073760681,0.081409536,0.313881248,0.287000716,0.106618136,0.25,0.55000001,0.059999999,0.23999999,0.018521285,0.10891704,67.800003,1,3078629.8,93310664,3.2993333,3834.8364,,109.04035
All,Odisha,0.20999999,0.40000001,0.36000001,0.55000001,13.43965083,3.93320471,1.579400897,30.8003962,3.049773909,39.84912038,13.54906559,65.95264673,12.29958981,State,All,0.492669225,0.994207919,0.407057315,0.551621556,0.381386548,All Households,0.321878225,0.015612693,0.479397953,0.367416412,0.009540413,0.67910713,0.028656872,8432.805664,0.788215935,1.00100553,0.507123291,0.333523452,0.584758103,0.554649711,0.211721838,0.051488627,0.336964756,0.386101067,0.043320745,0.44,0.75999999,0.090000004,0.38999999,0.06560304,0.25223145,67.800003,1,3078629.8,93310664,3.2993333,2991.6536,,85.065163
Rural,Puducherry,0.02,0.1,0.07,0.20999999,4.802833125,0,0.307841203,15.75880796,0.31958858,25.93191862,1.437494624,9.843470156,2.968312614,State,urban/rural,0.212563783,0.997439206,0.234892845,0.147990406,0.165718034,All Households,0,0,0,0.829679549,0.038176395,0.035378568,0.004754988,12054.7373,1.558763146,1.77908504,0.308512211,0.13963145,0.539301336,0.519154966,0.010208385,0.037356403,0.204870492,0.363824725,0.054640856,0.039999999,0.20999999,0.01,0.029999999,0.002773047,0.006303784,,,194240.22,93310664,0.20816508,5088.668,,144.692
Urban,Puducherry,0.01,0.07,0.02,0.11,2.776413783,2.416914888,0.199422822,13.01041096,0.047088493,10.41235328,2.534307539,2.416380495,1.703042164,State,urban/rural,0.189564154,0.995513201,0.247512043,0.218837306,0.217402875,All Households,0,0,0,0.721287489,0.021314932,0.06962768,0.001633005,19571.05469,2.10665679,2.176830769,0.120616563,0.072923481,0.480637282,0.442719698,0.024376081,0.078890264,0.252861977,0.282335818,0.072816662,0.02,0.11,0.01,0.050000001,0.058703646,0.072250642,,,194240.22,93310664,0.20816508,5366.3403,,152.58739
All,Puducherry,0.01,0.079999998,0.029999999,0.14,3.406484798,1.665427908,0.233133161,13.86496574,0.131816452,15.23782313,2.193277515,4.725671932,2.096450515,State,All,0.196598649,0.996102273,0.243718117,0.196961284,0.201863974,All Households,0,0,0,0.75701046,0.026871994,0.05834014,0.002661922,15670.80469,1.870048523,2.005064011,0.201759428,0.101731367,0.502951443,0.471793503,0.01844611,0.061950162,0.235068798,0.312290519,0.065032832,0.029999999,0.15000001,0.01,0.039999999,0.041573372,0.052052613,,,194240.22,93310664,0.20816508,5249.2231,,149.25725
Rural,Punjab,0.050000001,0.2,0.07,0.25,6.716553867,2.408033982,1.532789599,21.60768658,0.386616774,14.11613673,2.293472365,35.77228785,1.665667817,State,urban/rural,0.244288445,0.992658138,0.24906455,0.176651075,0.245212048,All Households,0.294299871,0,0.329974681,0.541835606,0.88206315,0.242026016,0.010311463,11002.52148,1.054251075,1.192774653,0.294666052,0.190431401,0.560910702,0.517763197,0.105222784,0.076924071,0.329786718,0.32634443,0.087203696,0.090000004,0.34999999,0.01,0.079999998,0.001110214,0.019062469,10.7,18,2848066.5,93310664,3.0522411,4410.3013,,125.40322
Urban,Punjab,0.039999999,0.11,0.039999999,0.11,6.835589558,3.373475745,0.995775033,19.49741393,0.251516583,13.02171648,1.071153488,7.136058062,1.491037849,State,urban/rural,0.173362613,0.990631521,0.13785775,0.121743709,0.137876704,All Households,0.153393224,0,0.141399473,0.451455474,0.780687511,0.117063768,0.012880799,13621.53125,1.351911902,1.489216685,0.236292496,0.139807463,0.522943974,0.486919075,0.064122394,0.068888672,0.29521817,0.237712264,0.100919455,0.1,0.33000001,0.01,0.079999998,0.000523502,0.013965764,10.7,18,2848066.5,93310664,3.0522411,5031.9092,,143.07811
All,Punjab,0.050000001,0.17,0.059999999,0.19,6.759826839,2.759003639,1.337567344,20.84053308,0.337503455,13.7182802,1.849119551,25.36208332,1.602184214,State,All,0.216409788,0.991861522,0.208334208,0.156296462,0.205899656,All Households,0.240028307,0,0.257343084,0.507024825,0.84301734,0.193895578,0.011301069,12433.63672,1.160969496,1.299056053,0.273737758,0.172281533,0.546482503,0.506041706,0.09019392,0.074001968,0.315627694,0.293397814,0.091334499,0.090000004,0.34,0.01,0.079999998,0.000864374,0.016926883,10.7,18,2848066.5,93310664,3.0522411,4628.7783,,131.61543
Rural,Rajasthan,0.2,0.46000001,0.38999999,0.63,11.59037948,4.679132998,2.289209329,36.16299331,2.324537002,34.04081762,12.76571602,74.99859333,13.07574362,State,urban/rural,0.282171249,0.995699406,0.336265951,0.306016803,0.309383303,All Households,0.018979633,0,0.723484695,0.147394627,0.835614443,0.680484176,0.08271423,10594.33398,0.665257454,0.8317101,0.482171446,0.35273546,0.622007847,0.590225637,0.301660627,0.051096216,0.273601264,0.470311135,0.039563715,0.22,0.57999998,0.07,0.25,0.028435567,0.15347461,28.6,12,5199396.5,93310664,5.5721354,3484.5896,,99.081375
Urban,Rajasthan,0.039999999,0.17,0.11,0.25999999,5.062009767,2.85063684,1.68248862,27.3657918,0.335780834,12.68862039,1.995223761,13.70254159,3.251707181,State,urban/rural,0.153093591,0.997196853,0.227357551,0.186914891,0.21901454,All Households,0.021228805,0.000446316,0.345540851,0.11953415,0.661972821,0.531180263,0.076569378,14810.52734,1.235900044,1.357922435,0.232683271,0.142979473,0.509737194,0.459658831,0.093461506,0.09824343,0.303002506,0.274549633,0.13485311,0.14,0.38999999,0.029999999,0.14,0.008540014,0.066126637,28.6,12,5199396.5,93310664,5.5721354,4192.4097,,119.20766
All,Rajasthan,0.17,0.38999999,0.31999999,0.54000002,10.05457714,4.24897857,2.146477997,34.09344852,1.856681146,29.01770175,10.23195237,60.57866812,10.76463386,State,All,0.250370651,0.996068299,0.310110599,0.277119219,0.287680417,All Households,0.019542059,0.000111605,0.628976405,0.140427858,0.79219377,0.643149376,0.081177652,11421.3457,0.784588873,0.941750348,0.429999083,0.308871776,0.590051711,0.553061783,0.252408057,0.062689334,0.281545818,0.417198747,0.056577109,0.2,0.54000002,0.059999999,0.22,0.022869842,0.12903927,28.6,12,5199396.5,93310664,5.5721354,3621.248,,102.96715
Rural,Sikkim,0.050000001,0.18000001,0.059999999,0.2,11.02749258,1.189400163,0.401166547,12.21001968,0.880517438,10.75209454,10.5123587,36.7713064,16.98696315,State,urban/rural,0.494535536,0.986502945,0.211964533,0.327255934,0.222846851,All Households,0.349824786,0,0.528735697,0.251660228,0.606222987,0.05198,0.005358402,11700.35352,1.010088086,1.110456347,0.44373554,0.367997825,0.800550163,0.777255535,0.209607288,0.029098313,0.172488332,0.751583397,0.024569085,0.11,0.63,0,0.02,0.003307754,0.034166869,,,167101.23,93310664,0.17908053,5449.6802,,154.95708
