statename,sector,sector_type,wealth_index,bpl,aadhar,health_insu_govt,household_has_preg_benefits,household_has_preg_fin,household_health_met,household_angan_benefits,household_angan_immun,household_angan_ecc,round,year,dem
Delhi,0,Rural,1,0.00,1.00,0.00,,,,,,,5,2019,All Households
Delhi,0,Rural,2,0.00,0.75,0.00,0.04,0.00,0.21,0.21,0.21,0.00,5,2019,All Households
Delhi,0,Rural,3,0.14,0.95,0.01,0.35,0.00,0.49,0.43,0.27,0.16,5,2019,All Households
Delhi,0,Rural,4,0.28,0.98,0.12,0.43,0.00,0.44,0.55,0.41,0.18,5,2019,All Households
Delhi,0,Rural,5,0.26,1.00,0.12,0.34,0.07,0.45,0.38,0.31,0.10,5,2019,All Households
Delhi,1,Urban,1,0.23,0.82,0.00,0.49,0.13,0.10,0.49,0.35,0.30,5,2019,All Households
Delhi,1,Urban,2,0.23,0.98,0.03,0.29,0.07,0.32,0.30,0.20,0.11,5,2019,All Households
Delhi,1,Urban,3,0.20,0.98,0.02,0.28,0.04,0.34,0.33,0.24,0.14,5,2019,All Households
Delhi,1,Urban,4,0.16,0.99,0.02,0.24,0.05,0.29,0.30,0.23,0.11,5,2019,All Households
Delhi,1,Urban,5,0.10,1.00,0.10,0.16,0.03,0.20,0.19,0.14,0.06,5,2019,All Households
Delhi,99,All,1,0.22,0.82,0.00,0.49,0.13,0.10,0.49,0.35,0.30,5,2019,All Households
Delhi,99,All,2,0.22,0.97,0.03,0.29,0.07,0.31,0.30,0.20,0.11,5,2019,All Households
Delhi,99,All,3,0.20,0.98,0.01,0.28,0.04,0.34,0.33,0.24,0.14,5,2019,All Households
Delhi,99,All,4,0.16,0.99,0.02,0.25,0.05,0.30,0.30,0.23,0.11,5,2019,All Households
Delhi,99,All,5,0.11,1.00,0.10,0.16,0.03,0.21,0.19,0.14,0.06,5,2019,All Households
Delhi,0,Rural,2,0.00,0.97,0.00,0.34,0.00,0.68,0.37,0.00,0.03,4,2015,All Households
Delhi,0,Rural,3,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,2015,All Households
Delhi,0,Rural,4,0.09,0.99,0.00,0.00,0.00,0.29,0.00,0.00,0.00,4,2015,All Households
Delhi,0,Rural,5,0.13,1.00,0.10,0.04,0.00,0.19,0.00,0.00,0.00,4,2015,All Households
Delhi,1,Urban,1,0.16,0.82,0.00,0.52,0.00,0.52,0.45,0.45,0.00,4,2015,All Households
Delhi,1,Urban,2,0.30,0.89,0.02,0.19,0.07,0.12,0.22,0.14,0.04,4,2015,All Households
Delhi,1,Urban,3,0.25,0.99,0.00,0.09,0.06,0.15,0.10,0.08,0.02,4,2015,All Households
Delhi,1,Urban,4,0.22,0.98,0.01,0.12,0.04,0.16,0.14,0.11,0.05,4,2015,All Households
Delhi,1,Urban,5,0.16,0.98,0.08,0.08,0.01,0.11,0.04,0.03,0.01,4,2015,All Households
Delhi,99,All,1,0.16,0.82,0.00,0.52,0.00,0.52,0.45,0.45,0.00,4,2015,All Households
Delhi,99,All,2,0.29,0.89,0.02,0.19,0.07,0.14,0.23,0.13,0.04,4,2015,All Households
Delhi,99,All,3,0.25,0.99,0.00,0.09,0.06,0.15,0.10,0.08,0.02,4,2015,All Households
Delhi,99,All,4,0.22,0.98,0.01,0.12,0.04,0.16,0.14,0.10,0.04,4,2015,All Households
Delhi,99,All,5,0.16,0.98,0.08,0.08,0.01,0.11,0.04,0.03,0.01,4,2015,All Households
Dadra and Nagar Haveli & Daman and Diu,0,Rural,1,0.67,1.00,0.01,0.44,0.10,0.59,0.44,0.37,0.34,5,2019,All Households
Dadra and Nagar Haveli & Daman and Diu,0,Rural,2,0.52,0.99,0.03,0.34,0.07,0.53,0.36,0.33,0.26,5,2019,All Households
Dadra and Nagar Haveli & Daman and Diu,0,Rural,3,0.59,1.00,0.04,0.27,0.09,0.43,0.30,0.27,0.23,5,2019,All Households
Dadra and Nagar Haveli & Daman and Diu,0,Rural,4,0.30,0.99,0.04,0.23,0.05,0.49,0.23,0.23,0.20,5,2019,All Households
Dadra and Nagar Haveli & Daman and Diu,0,Rural,5,0.40,0.95,0.04,0.16,0.01,0.36,0.15,0.13,0.08,5,2019,All Households
Dadra and Nagar Haveli & Daman and Diu,1,Urban,1,0.42,0.97,0.00,0.67,0.00,0.43,0.67,0.67,0.16,5,2019,All Households
Dadra and Nagar Haveli & Daman and Diu,1,Urban,2,0.20,0.93,0.00,0.36,0.09,0.63,0.41,0.41,0.32,5,2019,All Households
Dadra and Nagar Haveli & Daman and Diu,1,Urban,3,0.40,1.00,0.00,0.30,0.08,0.48,0.40,0.33,0.26,5,2019,All Households
Dadra and Nagar Haveli & Daman and Diu,1,Urban,4,0.38,1.00,0.03,0.26,0.09,0.50,0.30,0.28,0.19,5,2019,All Households
Dadra and Nagar Haveli & Daman and Diu,1,Urban,5,0.29,1.00,0.03,0.15,0.04,0.40,0.16,0.13,0.07,5,2019,All Households
Dadra and Nagar Haveli & Daman and Diu,99,All,1,0.65,1.00,0.01,0.44,0.10,0.58,0.45,0.39,0.34,5,2019,All Households
Dadra and Nagar Haveli & Daman and Diu,99,All,2,0.42,0.97,0.02,0.34,0.07,0.55,0.37,0.34,0.27,5,2019,All Households
Dadra and Nagar Haveli & Daman and Diu,99,All,3,0.49,1.00,0.02,0.28,0.09,0.45,0.35,0.30,0.24,5,2019,All Households
Dadra and Nagar Haveli & Daman and Diu,99,All,4,0.36,0.99,0.03,0.25,0.08,0.50,0.28,0.26,0.20,5,2019,All Households
Dadra and Nagar Haveli & Daman and Diu,99,All,5,0.30,0.99,0.03,0.15,0.04,0.39,0.16,0.13,0.07,5,2019,All Households
Goa,0,Rural,1,0.43,1.00,0.32,1.00,0.00,0.00,1.00,1.00,0.00,5,2019,All Households
Goa,0,Rural,2,0.48,1.00,0.54,0.30,0.16,0.06,0.32,0.16,0.00,5,2019,All Households
Goa,0,Rural,3,0.47,1.00,0.61,0.26,0.01,0.29,0.20,0.14,0.05,5,2019,All Households
Goa,0,Rural,4,0.57,1.00,0.74,0.32,0.02,0.26,0.26,0.12,0.09,5,2019,All Households
Goa,0,Rural,5,0.28,1.00,0.72,0.30,0.07,0.14,0.23,0.13,0.08,5,2019,All Households
Goa,1,Urban,1,0.56,1.00,0.00,0.42,0.00,0.00,0.42,0.42,0.00,5,2019,All Households
Goa,1,Urban,2,0.28,1.00,0.18,0.41,0.00,0.35,0.46,0.41,0.07,5,2019,All Households
Goa,1,Urban,3,0.32,1.00,0.34,0.38,0.09,0.16,0.28,0.22,0.03,5,2019,All Households
Goa,1,Urban,4,0.32,1.00,0.59,0.28,0.04,0.20,0.24,0.15,0.06,5,2019,All Households
Goa,1,Urban,5,0.22,1.00,0.56,0.30,0.03,0.17,0.25,0.13,0.09,5,2019,All Households
Goa,99,All,1,0.47,1.00,0.22,0.70,0.00,0.00,0.70,0.70,0.00,5,2019,All Households
Goa,99,All,2,0.41,1.00,0.41,0.35,0.10,0.17,0.38,0.26,0.03,5,2019,All Households
Goa,99,All,3,0.40,1.00,0.49,0.32,0.05,0.23,0.24,0.18,0.04,5,2019,All Households
Goa,99,All,4,0.45,1.00,0.67,0.30,0.03,0.23,0.25,0.14,0.08,5,2019,All Households
Goa,99,All,5,0.24,1.00,0.61,0.30,0.04,0.16,0.24,0.13,0.08,5,2019,All Households
Goa,0,Rural,1,0.35,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,2015,All Households
Goa,0,Rural,2,0.34,0.83,0.00,0.20,0.03,0.19,0.24,0.21,0.14,4,2015,All Households
Goa,0,Rural,3,0.37,0.97,0.03,0.22,0.07,0.23,0.25,0.09,0.08,4,2015,All Households
Goa,0,Rural,4,0.25,0.94,0.02,0.32,0.11,0.28,0.38,0.20,0.14,4,2015,All Households
Goa,0,Rural,5,0.14,0.95,0.07,0.24,0.06,0.26,0.24,0.15,0.09,4,2015,All Households
Goa,1,Urban,1,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,2015,All Households
Goa,1,Urban,2,0.04,0.58,0.00,0.45,0.12,0.25,0.49,0.39,0.39,4,2015,All Households
Goa,1,Urban,3,0.09,0.91,0.03,0.25,0.07,0.22,0.24,0.12,0.12,4,2015,All Households
Goa,1,Urban,4,0.10,0.91,0.04,0.22,0.04,0.29,0.22,0.12,0.07,4,2015,All Households
Goa,1,Urban,5,0.09,0.96,0.08,0.18,0.05,0.22,0.17,0.11,0.08,4,2015,All Households
Goa,99,All,1,0.23,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,2015,All Households
Goa,99,All,2,0.21,0.72,0.00,0.32,0.07,0.21,0.36,0.29,0.26,4,2015,All Households
Goa,99,All,3,0.21,0.94,0.03,0.24,0.07,0.22,0.24,0.11,0.10,4,2015,All Households
Goa,99,All,4,0.16,0.92,0.04,0.26,0.07,0.29,0.28,0.16,0.10,4,2015,All Households
Goa,99,All,5,0.11,0.96,0.08,0.19,0.05,0.23,0.19,0.12,0.08,4,2015,All Households
Gujarat,0,Rural,1,0.64,0.96,0.34,0.38,0.08,0.52,0.37,0.33,0.26,5,2019,All Households
Gujarat,0,Rural,2,0.54,0.98,0.39,0.37,0.10,0.53,0.35,0.31,0.25,5,2019,All Households
Gujarat,0,Rural,3,0.43,0.99,0.42,0.35,0.09,0.49,0.33,0.29,0.24,5,2019,All Households
Gujarat,0,Rural,4,0.27,0.99,0.44,0.30,0.07,0.49,0.28,0.25,0.21,5,2019,All Households
Gujarat,0,Rural,5,0.12,1.00,0.37,0.28,0.05,0.47,0.26,0.24,0.18,5,2019,All Households
Gujarat,1,Urban,1,0.36,0.89,0.18,0.50,0.06,0.39,0.50,0.42,0.25,5,2019,All Households
Gujarat,1,Urban,2,0.43,0.98,0.28,0.38,0.05,0.46,0.35,0.29,0.19,5,2019,All Households
Gujarat,1,Urban,3,0.41,0.96,0.26,0.33,0.07,0.40,0.31,0.26,0.23,5,2019,All Households
Gujarat,1,Urban,4,0.27,0.99,0.31,0.26,0.04,0.42,0.26,0.22,0.18,5,2019,All Households
Gujarat,1,Urban,5,0.14,0.99,0.29,0.16,0.03,0.27,0.15,0.13,0.10,5,2019,All Households
Gujarat,99,All,1,0.62,0.96,0.33,0.39,0.08,0.51,0.37,0.34,0.26,5,2019,All Households
Gujarat,99,All,2,0.53,0.98,0.38,0.37,0.09,0.52,0.35,0.31,0.25,5,2019,All Households
Gujarat,99,All,3,0.43,0.99,0.39,0.35,0.09,0.47,0.33,0.29,0.23,5,2019,All Households
Gujarat,99,All,4,0.27,0.99,0.38,0.28,0.05,0.45,0.27,0.24,0.19,5,2019,All Households
Gujarat,99,All,5,0.13,0.99,0.30,0.17,0.03,0.30,0.16,0.15,0.12,5,2019,All Households
Gujarat,0,Rural,1,0.63,0.84,0.19,0.20,0.06,0.18,0.35,0.30,0.17,4,2015,All Households
Gujarat,0,Rural,2,0.60,0.89,0.23,0.24,0.08,0.22,0.36,0.31,0.19,4,2015,All Households
Gujarat,0,Rural,3,0.49,0.91,0.22,0.22,0.07,0.23,0.33,0.29,0.21,4,2015,All Households
Gujarat,0,Rural,4,0.29,0.93,0.16,0.21,0.04,0.25,0.29,0.25,0.17,4,2015,All Households
Gujarat,0,Rural,5,0.16,0.94,0.13,0.14,0.02,0.24,0.23,0.19,0.13,4,2015,All Households
Gujarat,1,Urban,1,0.43,0.79,0.13,0.15,0.05,0.15,0.36,0.32,0.12,4,2015,All Households
Gujarat,1,Urban,2,0.40,0.77,0.11,0.15,0.04,0.17,0.24,0.21,0.14,4,2015,All Households
Gujarat,1,Urban,3,0.40,0.89,0.10,0.19,0.04,0.15,0.32,0.28,0.15,4,2015,All Households
Gujarat,1,Urban,4,0.34,0.92,0.12,0.15,0.03,0.18,0.24,0.20,0.13,4,2015,All Households
Gujarat,1,Urban,5,0.15,0.95,0.10,0.09,0.01,0.16,0.12,0.10,0.06,4,2015,All Households
Gujarat,99,All,1,0.61,0.84,0.18,0.20,0.06,0.18,0.35,0.30,0.17,4,2015,All Households
Gujarat,99,All,2,0.58,0.87,0.22,0.23,0.07,0.22,0.35,0.30,0.19,4,2015,All Households
Gujarat,99,All,3,0.47,0.90,0.19,0.21,0.06,0.21,0.33,0.29,0.19,4,2015,All Households
Gujarat,99,All,4,0.32,0.92,0.14,0.18,0.04,0.21,0.26,0.22,0.15,4,2015,All Households
Gujarat,99,All,5,0.15,0.95,0.11,0.10,0.01,0.17,0.13,0.11,0.07,4,2015,All Households
Haryana,0,Rural,1,0.42,0.98,0.06,0.35,0.03,0.37,0.35,0.28,0.16,5,2019,All Households
Haryana,0,Rural,2,0.47,0.99,0.08,0.33,0.06,0.38,0.31,0.25,0.10,5,2019,All Households
Haryana,0,Rural,3,0.40,0.99,0.09,0.33,0.05,0.38,0.30,0.24,0.09,5,2019,All Households
Haryana,0,Rural,4,0.29,1.00,0.08,0.32,0.06,0.41,0.31,0.25,0.10,5,2019,All Households
Haryana,0,Rural,5,0.13,1.00,0.11,0.32,0.07,0.40,0.32,0.28,0.11,5,2019,All Households
Haryana,1,Urban,1,0.36,0.93,0.04,0.38,0.11,0.32,0.37,0.33,0.17,5,2019,All Households
Haryana,1,Urban,2,0.28,0.95,0.03,0.29,0.04,0.36,0.33,0.26,0.08,5,2019,All Households
Haryana,1,Urban,3,0.23,1.00,0.03,0.29,0.07,0.30,0.29,0.26,0.09,5,2019,All Households
Haryana,1,Urban,4,0.34,1.00,0.06,0.26,0.05,0.29,0.26,0.20,0.10,5,2019,All Households
Haryana,1,Urban,5,0.15,1.00,0.10,0.20,0.03,0.24,0.19,0.16,0.06,5,2019,All Households
Haryana,99,All,1,0.41,0.98,0.06,0.35,0.04,0.37,0.36,0.29,0.16,5,2019,All Households
Haryana,99,All,2,0.44,0.99,0.07,0.33,0.05,0.38,0.32,0.25,0.10,5,2019,All Households
Haryana,99,All,3,0.36,1.00,0.08,0.32,0.05,0.37,0.30,0.25,0.09,5,2019,All Households
Haryana,99,All,4,0.30,1.00,0.08,0.31,0.06,0.38,0.30,0.24,0.10,5,2019,All Households
Haryana,99,All,5,0.14,1.00,0.10,0.26,0.05,0.33,0.26,0.22,0.09,5,2019,All Households
Haryana,0,Rural,1,0.48,0.83,0.03,0.12,0.04,0.19,0.13,0.10,0.04,4,2015,All Households
Haryana,0,Rural,2,0.52,0.89,0.04,0.19,0.05,0.21,0.24,0.20,0.09,4,2015,All Households
Haryana,0,Rural,3,0.46,0.94,0.05,0.25,0.08,0.29,0.29,0.26,0.14,4,2015,All Households
Haryana,0,Rural,4,0.27,0.95,0.04,0.23,0.07,0.28,0.26,0.24,0.12,4,2015,All Households
Haryana,0,Rural,5,0.08,0.96,0.06,0.23,0.05,0.29,0.24,0.22,0.10,4,2015,All Households
Haryana,1,Urban,1,0.14,0.72,0.00,0.21,0.05,0.39,0.30,0.25,0.05,4,2015,All Households
Haryana,1,Urban,2,0.28,0.75,0.01,0.15,0.07,0.21,0.19,0.17,0.07,4,2015,All Households
Haryana,1,Urban,3,0.27,0.81,0.04,0.15,0.05,0.18,0.19,0.17,0.08,4,2015,All Households
Haryana,1,Urban,4,0.23,0.89,0.02,0.14,0.04,0.18,0.15,0.13,0.06,4,2015,All Households
Haryana,1,Urban,5,0.10,0.96,0.07,0.13,0.03,0.20,0.11,0.09,0.04,4,2015,All Households
Haryana,99,All,1,0.42,0.81,0.02,0.14,0.04,0.23,0.16,0.14,0.04,4,2015,All Households
Haryana,99,All,2,0.47,0.86,0.03,0.18,0.05,0.21,0.23,0.19,0.09,4,2015,All Households
Haryana,99,All,3,0.40,0.91,0.04,0.22,0.07,0.26,0.26,0.23,0.12,4,2015,All Households
Haryana,99,All,4,0.25,0.93,0.03,0.20,0.06,0.25,0.22,0.20,0.10,4,2015,All Households
Haryana,99,All,5,0.09,0.96,0.07,0.18,0.04,0.24,0.17,0.15,0.07,4,2015,All Households
Himachal Pradesh,0,Rural,1,0.33,0.92,0.25,0.08,0.03,0.01,0.28,0.13,0.07,4,2015,All Households
Himachal Pradesh,0,Rural,2,0.45,0.97,0.33,0.10,0.05,0.06,0.31,0.08,0.10,4,2015,All Households
Himachal Pradesh,0,Rural,3,0.38,0.99,0.27,0.12,0.05,0.09,0.26,0.07,0.09,4,2015,All Households
Himachal Pradesh,0,Rural,4,0.25,0.99,0.21,0.16,0.07,0.12,0.30,0.08,0.08,4,2015,All Households
Himachal Pradesh,0,Rural,5,0.08,0.99,0.15,0.16,0.04,0.12,0.28,0.08,0.05,4,2015,All Households
Himachal Pradesh,1,Urban,1,0.00,0.67,0.00,0.00,0.00,0.00,1.00,1.00,1.00,4,2015,All Households
Himachal Pradesh,1,Urban,2,0.34,0.84,0.15,0.09,0.00,0.00,0.32,0.00,0.27,4,2015,All Households
Himachal Pradesh,1,Urban,3,0.36,0.99,0.20,0.03,0.02,0.01,0.12,0.04,0.00,4,2015,All Households
Himachal Pradesh,1,Urban,4,0.20,0.97,0.14,0.14,0.07,0.05,0.19,0.04,0.04,4,2015,All Households
Himachal Pradesh,1,Urban,5,0.14,1.00,0.09,0.08,0.04,0.06,0.07,0.01,0.01,4,2015,All Households
Himachal Pradesh,99,All,1,0.32,0.91,0.25,0.08,0.03,0.01,0.30,0.15,0.08,4,2015,All Households
Himachal Pradesh,99,All,2,0.44,0.97,0.32,0.10,0.05,0.06,0.31,0.08,0.11,4,2015,All Households
Himachal Pradesh,99,All,3,0.38,0.99,0.27,0.11,0.05,0.09,0.26,0.07,0.09,4,2015,All Households
Himachal Pradesh,99,All,4,0.24,0.99,0.21,0.16,0.07,0.11,0.29,0.08,0.08,4,2015,All Households
Himachal Pradesh,99,All,5,0.10,1.00,0.14,0.14,0.04,0.10,0.24,0.07,0.05,4,2015,All Households
Himachal Pradesh,0,Rural,1,0.41,0.98,0.19,0.33,0.03,0.31,0.27,0.15,0.11,5,2019,All Households
Himachal Pradesh,0,Rural,2,0.38,0.99,0.21,0.28,0.05,0.38,0.25,0.12,0.09,5,2019,All Households
Himachal Pradesh,0,Rural,3,0.28,1.00,0.20,0.28,0.06,0.41,0.24,0.11,0.08,5,2019,All Households
Himachal Pradesh,0,Rural,4,0.13,1.00,0.20,0.29,0.07,0.46,0.27,0.11,0.07,5,2019,All Households
Himachal Pradesh,0,Rural,5,0.06,1.00,0.17,0.30,0.06,0.42,0.27,0.12,0.06,5,2019,All Households
Himachal Pradesh,1,Urban,1,0.03,1.00,0.05,0.07,0.03,0.19,0.23,0.07,0.04,5,2019,All Households
Himachal Pradesh,1,Urban,2,0.09,0.95,0.03,0.34,0.25,0.20,0.20,0.05,0.00,5,2019,All Households
Himachal Pradesh,1,Urban,3,0.12,1.00,0.09,0.35,0.00,0.33,0.18,0.11,0.05,5,2019,All Households
Himachal Pradesh,1,Urban,4,0.09,1.00,0.09,0.22,0.02,0.21,0.18,0.06,0.04,5,2019,All Households
Himachal Pradesh,1,Urban,5,0.07,1.00,0.12,0.23,0.03,0.18,0.24,0.05,0.05,5,2019,All Households
Himachal Pradesh,99,All,1,0.39,0.98,0.18,0.31,0.03,0.30,0.27,0.15,0.10,5,2019,All Households
Himachal Pradesh,99,All,2,0.37,0.99,0.20,0.28,0.05,0.38,0.25,0.12,0.09,5,2019,All Households
Himachal Pradesh,99,All,3,0.27,1.00,0.19,0.28,0.05,0.41,0.24,0.11,0.08,5,2019,All Households
Himachal Pradesh,99,All,4,0.13,1.00,0.18,0.28,0.06,0.43,0.26,0.11,0.06,5,2019,All Households
Himachal Pradesh,99,All,5,0.06,1.00,0.16,0.28,0.05,0.35,0.26,0.10,0.05,5,2019,All Households
India,0,Rural,1,0.62,0.94,0.20,0.38,0.19,0.39,0.37,0.30,0.17,5,2019,All Households
India,0,Rural,2,0.58,0.96,0.29,0.34,0.17,0.39,0.33,0.27,0.16,5,2019,All Households
India,0,Rural,3,0.53,0.98,0.36,0.32,0.15,0.39,0.31,0.26,0.14,5,2019,All Households
India,0,Rural,4,0.44,0.99,0.36,0.31,0.13,0.39,0.30,0.25,0.13,5,2019,All Households
India,0,Rural,5,0.24,0.99,0.28,0.30,0.11,0.35,0.29,0.23,0.10,5,2019,All Households
India,1,Urban,1,0.54,0.95,0.19,0.33,0.14,0.32,0.33,0.27,0.16,5,2019,All Households
India,1,Urban,2,0.48,0.96,0.24,0.29,0.13,0.32,0.29,0.22,0.14,5,2019,All Households
India,1,Urban,3,0.46,0.97,0.26,0.25,0.10,0.30,0.25,0.20,0.11,5,2019,All Households
India,1,Urban,4,0.39,0.98,0.27,0.23,0.09,0.29,0.23,0.18,0.10,5,2019,All Households
India,1,Urban,5,0.20,0.99,0.22,0.16,0.06,0.22,0.17,0.13,0.06,5,2019,All Households
India,99,All,1,0.62,0.94,0.20,0.37,0.19,0.38,0.37,0.30,0.17,5,2019,All Households
India,99,All,2,0.56,0.96,0.29,0.34,0.17,0.38,0.33,0.26,0.15,5,2019,All Households
India,99,All,3,0.51,0.98,0.33,0.31,0.14,0.37,0.30,0.24,0.13,5,2019,All Households
India,99,All,4,0.41,0.99,0.32,0.28,0.11,0.34,0.27,0.22,0.11,5,2019,All Households
India,99,All,5,0.21,0.99,0.24,0.20,0.07,0.25,0.20,0.16,0.07,5,2019,All Households
India,0,Rural,1,0.56,0.71,0.21,0.24,0.20,0.17,0.34,0.26,0.13,4,2015,All Households
India,0,Rural,2,0.52,0.78,0.28,0.24,0.18,0.20,0.31,0.24,0.13,4,2015,All Households
India,0,Rural,3,0.47,0.85,0.33,0.23,0.15,0.21,0.29,0.22,0.12,4,2015,All Households
India,0,Rural,4,0.35,0.89,0.31,0.22,0.12,0.22,0.26,0.20,0.10,4,2015,All Households
India,0,Rural,5,0.16,0.92,0.22,0.20,0.09,0.21,0.23,0.16,0.08,4,2015,All Households
India,1,Urban,1,0.47,0.74,0.20,0.21,0.16,0.18,0.31,0.21,0.13,4,2015,All Households
India,1,Urban,2,0.41,0.79,0.22,0.20,0.14,0.18,0.28,0.20,0.12,4,2015,All Households
India,1,Urban,3,0.38,0.86,0.23,0.18,0.12,0.18,0.23,0.16,0.09,4,2015,All Households
India,1,Urban,4,0.32,0.89,0.23,0.15,0.10,0.16,0.18,0.13,0.07,4,2015,All Households
India,1,Urban,5,0.16,0.93,0.18,0.10,0.05,0.14,0.11,0.07,0.03,4,2015,All Households
India,99,All,1,0.56,0.71,0.21,0.24,0.19,0.17,0.34,0.26,0.13,4,2015,All Households
India,99,All,2,0.50,0.78,0.27,0.24,0.18,0.20,0.31,0.23,0.13,4,2015,All Households
India,99,All,3,0.44,0.85,0.30,0.22,0.14,0.20,0.28,0.21,0.11,4,2015,All Households
India,99,All,4,0.34,0.89,0.27,0.18,0.11,0.19,0.22,0.17,0.08,4,2015,All Households
India,99,All,5,0.16,0.93,0.18,0.13,0.06,0.15,0.14,0.10,0.04,4,2015,All Households
Jammu & Kashmir,0,Rural,1,0.68,0.72,0.00,0.16,0.17,0.19,0.18,0.07,0.03,4,2015,All Households
Jammu & Kashmir,0,Rural,2,0.69,0.82,0.00,0.20,0.22,0.16,0.20,0.08,0.03,4,2015,All Households
Jammu & Kashmir,0,Rural,3,0.53,0.86,0.01,0.21,0.26,0.16,0.21,0.09,0.03,4,2015,All Households
Jammu & Kashmir,0,Rural,4,0.32,0.86,0.02,0.20,0.24,0.18,0.18,0.09,0.02,4,2015,All Households
Jammu & Kashmir,0,Rural,5,0.14,0.87,0.08,0.22,0.24,0.23,0.18,0.07,0.02,4,2015,All Households
Jammu & Kashmir,1,Urban,1,0.58,0.96,0.00,0.29,0.42,0.21,0.37,0.09,0.01,4,2015,All Households
Jammu & Kashmir,1,Urban,2,0.60,0.82,0.00,0.22,0.33,0.26,0.19,0.06,0.02,4,2015,All Households
Jammu & Kashmir,1,Urban,3,0.50,0.81,0.00,0.17,0.24,0.20,0.15,0.06,0.03,4,2015,All Households
Jammu & Kashmir,1,Urban,4,0.33,0.75,0.00,0.16,0.20,0.19,0.12,0.05,0.01,4,2015,All Households
Jammu & Kashmir,1,Urban,5,0.13,0.81,0.06,0.11,0.13,0.21,0.08,0.03,0.02,4,2015,All Households
Jammu & Kashmir,99,All,1,0.67,0.74,0.00,0.17,0.18,0.19,0.19,0.07,0.03,4,2015,All Households
Jammu & Kashmir,99,All,2,0.68,0.82,0.00,0.20,0.23,0.17,0.20,0.08,0.03,4,2015,All Households
Jammu & Kashmir,99,All,3,0.52,0.84,0.01,0.20,0.26,0.17,0.20,0.09,0.03,4,2015,All Households
Jammu & Kashmir,99,All,4,0.33,0.82,0.01,0.19,0.22,0.19,0.16,0.07,0.02,4,2015,All Households
Jammu & Kashmir,99,All,5,0.14,0.84,0.07,0.16,0.18,0.22,0.13,0.05,0.02,4,2015,All Households
Jammu & Kashmir,0,Rural,1,0.88,0.99,0.00,0.20,0.20,0.23,0.26,0.13,0.05,5,2019,All Households
Jammu & Kashmir,0,Rural,2,0.80,0.99,0.01,0.20,0.22,0.23,0.26,0.14,0.06,5,2019,All Households
Jammu & Kashmir,0,Rural,3,0.68,1.00,0.02,0.19,0.21,0.23,0.23,0.13,0.06,5,2019,All Households
Jammu & Kashmir,0,Rural,4,0.52,1.00,0.05,0.19,0.22,0.22,0.24,0.13,0.07,5,2019,All Households
Jammu & Kashmir,0,Rural,5,0.28,1.00,0.09,0.16,0.21,0.20,0.22,0.11,0.05,5,2019,All Households
Jammu & Kashmir,1,Urban,1,0.78,1.00,0.00,0.26,0.40,0.27,0.29,0.10,0.09,5,2019,All Households
Jammu & Kashmir,1,Urban,2,0.78,0.98,0.01,0.23,0.18,0.26,0.20,0.08,0.06,5,2019,All Households
Jammu & Kashmir,1,Urban,3,0.70,0.99,0.01,0.13,0.21,0.16,0.18,0.07,0.01,5,2019,All Households
Jammu & Kashmir,1,Urban,4,0.48,1.00,0.02,0.13,0.19,0.18,0.16,0.08,0.03,5,2019,All Households
Jammu & Kashmir,1,Urban,5,0.24,0.99,0.10,0.11,0.15,0.16,0.13,0.07,0.03,5,2019,All Households
Jammu & Kashmir,99,All,1,0.87,0.99,0.00,0.20,0.20,0.23,0.26,0.13,0.06,5,2019,All Households
Jammu & Kashmir,99,All,2,0.80,0.99,0.01,0.20,0.22,0.24,0.25,0.14,0.06,5,2019,All Households
Jammu & Kashmir,99,All,3,0.68,1.00,0.02,0.18,0.21,0.22,0.22,0.12,0.06,5,2019,All Households
Jammu & Kashmir,99,All,4,0.50,1.00,0.04,0.17,0.21,0.21,0.21,0.11,0.06,5,2019,All Households
Jammu & Kashmir,99,All,5,0.26,1.00,0.09,0.13,0.18,0.18,0.17,0.09,0.04,5,2019,All Households
Jharkhand,0,Rural,1,0.70,0.99,0.03,0.44,0.13,0.28,0.38,0.33,0.18,5,2019,All Households
Jharkhand,0,Rural,2,0.66,1.00,0.04,0.40,0.15,0.29,0.36,0.31,0.18,5,2019,All Households
Jharkhand,0,Rural,3,0.57,1.00,0.05,0.37,0.14,0.31,0.34,0.30,0.18,5,2019,All Households
Jharkhand,0,Rural,4,0.41,1.00,0.04,0.37,0.14,0.29,0.34,0.31,0.16,5,2019,All Households
Jharkhand,0,Rural,5,0.23,1.00,0.08,0.19,0.05,0.18,0.19,0.19,0.11,5,2019,All Households
Jharkhand,1,Urban,1,0.59,0.99,0.03,0.34,0.11,0.15,0.32,0.24,0.11,5,2019,All Households
Jharkhand,1,Urban,2,0.56,0.99,0.02,0.28,0.09,0.20,0.27,0.24,0.11,5,2019,All Households
Jharkhand,1,Urban,3,0.51,0.99,0.05,0.25,0.09,0.18,0.27,0.24,0.10,5,2019,All Households
Jharkhand,1,Urban,4,0.39,1.00,0.05,0.19,0.07,0.17,0.20,0.16,0.07,5,2019,All Households
