,edu_cat,unemp_cws,lf_cws,emp_cws,unpaid_emp,salaried,casual,self_emp,neet,ind_cws_1,ind_cws_2,ind_cws_3,ind_cws_4,ind_cws_5,type,state,urban,level,area,year,dem,yr,youth,sex1,JQdim365,JQdim215,POV_365,POV_215,statename
6504,NA,0.300792038,0.409757167,0.286505461,0.023144847,0.532989681,0.138847888,0.328162462,0.166377231,0.011851181,0.110935159,0.163719133,0.123251691,0.590242863,State+Urban+youth,1,1,state,urban/rural,2017,Youth,2017,1,NA,1.095123172,1.407506824,0.383726001,0.185774207,Jammu & Kashmir
6505,NA,0.03520751,0.672763586,0.649077237,0.124816723,0.180989861,0.13119629,0.687813878,NA,0.269487143,0.094931781,0.102388218,0.01718262,0.516010225,State+Urban+youth,2,0,state,urban/rural,2017,Youth,2017,0,NA,0.737431943,0.912505865,0.535232961,0.401151359,Himachal Pradesh
6506,NA,0.264676362,0.393817276,0.289583147,0.132687956,0.191886365,0.108957514,0.699156106,0.195124477,0.170173571,0.057495855,0.061913721,0.104234122,0.606182754,State+Urban+youth,2,0,state,urban/rural,2017,Youth,2017,1,NA,0.461321414,0.586822093,0.690171003,0.584557414,Himachal Pradesh
6507,NA,0.030683439,0.568176568,0.550742924,0.02178061,0.515923202,0.099235326,0.384841442,NA,0.034364183,0.123704001,0.21927093,0.011944562,0.610716343,State+Urban+youth,2,1,state,urban/rural,2017,Youth,2017,0,NA,1.592459798,1.752655149,0.231287032,0.118090883,Himachal Pradesh
6508,NA,0.272661597,0.447806686,0.325706989,0.028724672,0.62824595,0.176851735,0.194902316,0.204234049,0.006648999,0.19777602,0.121281974,0.122099683,0.552193344,State+Urban+youth,2,1,state,urban/rural,2017,Youth,2017,1,NA,1.171172738,1.888569593,0.495649666,0.12936379,Himachal Pradesh
6509,NA,0.032174665,0.485464782,0.469845086,0.025547303,0.220028967,0.236046776,0.543924272,NA,0.149453253,0.086648151,0.100090794,0.013030098,0.650777698,State+Urban+youth,3,0,state,urban/rural,2017,Youth,2017,0,NA,1.025543571,1.186386704,0.258359075,0.131786495,Punjab
6510,NA,0.245273113,0.366118997,0.276319861,0.047585238,0.299889892,0.291277051,0.408833057,0.290140271,0.086709417,0.100710876,0.08889956,0.089799151,0.633880973,State+Urban+youth,3,0,state,urban/rural,2017,Youth,2017,1,NA,0.883525193,1.035964727,0.364094019,0.247484997,Punjab
6511,NA,0.032750476,0.523234069,0.506097913,0.023392584,0.456577599,0.088641852,0.454780549,NA,0.013496986,0.129761279,0.20486252,0.011830344,0.640048862,State+Urban+youth,3,1,state,urban/rural,2017,Youth,2017,0,NA,1.234463692,1.40525794,0.242301688,0.124614723,Punjab
6512,NA,0.20272629,0.442874938,0.353092551,0.025365984,0.59166348,0.133387774,0.274948746,0.259392023,0.015586863,0.152968079,0.18453759,0.089782394,0.557125092,State+Urban+youth,3,1,state,urban/rural,2017,Youth,2017,1,NA,1.036084175,1.278334618,0.372421592,0.1994991,Punjab
6513,NA,0,0.555119455,0.555119455,0.001221688,0.69408536,0.09047728,0.215437353,NA,0.001778259,0.100193948,0.197225958,0,0.700801849,State+Urban+youth,4,0,state,urban/rural,2017,Youth,2017,0,NA,1.889727592,1.957375169,0.059132122,0.002200766,Chandigarh
6514,NA,0.162004396,0.305904418,0.256346554,0,0.83591634,0.112977207,0.051106431,0.217944473,0,0.064295635,0.192050934,0.049557865,0.694095552,State+Urban+youth,4,0,state,urban/rural,2017,Youth,2017,1,NA,1.912152171,1.960460901,0.048308756,0,Chandigarh
6515,NA,0.072600111,0.559652925,0.519022048,0.012912753,0.587879956,0.022084638,0.390035421,NA,0.001853571,0.100596674,0.241832927,0.026951693,0.628765106,State+Urban+youth,4,1,state,urban/rural,2017,Youth,2017,0,NA,1.767396927,1.912920594,0.21277304,0.097157881,Chandigarh
6516,NA,0.147624806,0.451171845,0.384567678,0.025788359,0.788058937,0.017969713,0.193971381,0.199539706,0,0.035406668,0.349161029,0.066604152,0.548828185,State+Urban+youth,4,1,state,urban/rural,2017,Youth,2017,1,NA,1.549897552,1.707980037,0.293800563,0.148595661,Chandigarh
6517,NA,0.022135766,0.544329405,0.532280266,0.061435375,0.196671709,0.118295476,0.685032785,NA,0.198834315,0.049579993,0.098639093,0.007851534,0.64509505,State+Urban+youth,5,0,state,urban/rural,2017,Youth,2017,0,NA,1.064642668,1.242002368,0.319501847,0.185140759,Uttrakhand
6518,NA,0.285157919,0.274401486,0.196153715,0.060250491,0.322333932,0.088728912,0.588937163,0.223633409,0.100607283,0.044538148,0.051008288,0.078247756,0.725598514,State+Urban+youth,5,0,state,urban/rural,2017,Youth,2017,1,NA,0.925600648,1.158355355,0.488289267,0.34885183,Uttrakhand
6519,NA,0.025536593,0.497926295,0.485210955,0.015156182,0.503264248,0.089235283,0.407500476,NA,0.024494238,0.086230904,0.216601402,0.009034771,0.663638711,State+Urban+youth,5,1,state,urban/rural,2017,Youth,2017,0,NA,1.451129436,1.583454013,0.139142007,0.055699307,Uttrakhand
6520,NA,0.283480227,0.308418423,0.220987886,0.018322324,0.558447182,0.16762799,0.273924857,0.210388944,0.00380741,0.097630292,0.119550183,0.087430529,0.691581607,State+Urban+youth,5,1,state,urban/rural,2017,Youth,2017,1,NA,1.119016886,1.425196409,0.399292618,0.167179316,Uttrakhand
6521,NA,0.041169308,0.493132114,0.472830206,0.021390554,0.22324352,0.219487756,0.557268739,NA,0.129230961,0.06745486,0.088461809,0.012206545,0.702645838,State+Urban+youth,6,0,state,urban/rural,2017,Youth,2017,0,NA,1.171794295,1.303211093,0.230138466,0.126666293,Haryana
6522,NA,0.272111863,0.389547646,0.283547103,0.039812021,0.380852997,0.25336495,0.365782052,0.331998348,0.085121416,0.095667958,0.102757737,0.106000528,0.610452354,State+Urban+youth,6,0,state,urban/rural,2017,Youth,2017,1,NA,1.197693467,1.277477503,0.282701433,0.217996761,Haryana
6523,NA,0.039724279,0.50378561,0.483773053,0.007174862,0.480338931,0.091625422,0.428035647,NA,0.013755132,0.12480849,0.174838886,0.014969661,0.67162782,State+Urban+youth,6,1,state,urban/rural,2017,Youth,2017,0,NA,1.692691088,1.805495739,0.136583477,0.054455172,Haryana
6524,NA,0.179204822,0.380925536,0.312661856,0.021980323,0.645378947,0.141588718,0.21303235,0.259339541,0.001508301,0.16895473,0.142198816,0.068263695,0.619074464,State+Urban+youth,6,1,state,urban/rural,2017,Youth,2017,1,NA,1.544080973,1.763615966,0.2548033,0.142900258,Haryana
6525,NA,0.013896659,0.546883821,0.539283931,0,0.404705524,0.189966619,0.405327857,NA,0.071763076,0.084815212,0.10917072,0.003745067,0.730505943,State+Urban+youth,7,0,state,urban/rural,2017,Youth,2017,0,NA,1.462404013,1.62114048,0.051338512,0,Delhi
6526,NA,0.10490974,0.333481938,0.298496425,0.00010527,0.69800806,0.018787313,0.283204645,0.133100137,0.072233483,0.064145632,0.162117317,0.034985505,0.666518092,State+Urban+youth,7,0,state,urban/rural,2017,Youth,2017,1,NA,1.715619206,1.718272686,0.003006182,0.000352667,Delhi
6527,NA,0.034536991,0.533201337,0.514786124,0.005128158,0.58819133,0.042071819,0.36973688,NA,0.002691749,0.106903598,0.231022805,0.013342055,0.646039784,State+Urban+youth,7,1,state,urban/rural,2017,Youth,2017,0,NA,1.565308571,1.707411289,0.150533393,0.064251058,Delhi
6528,NA,0.23639302,0.386822015,0.295379966,0.017410526,0.690571308,0.074501827,0.234926879,0.282139093,0,0.105531447,0.189848527,0.091442019,0.613178015,State+Urban+youth,7,1,state,urban/rural,2017,Youth,2017,1,NA,1.488726139,1.739704728,0.20970203,0.07299272,Delhi
6529,NA,0.043019984,0.556324363,0.53239131,0.100143991,0.117051102,0.154983863,0.727965057,NA,0.196178541,0.065397501,0.051238332,0.016131423,0.671054184,State+Urban+youth,8,0,state,urban/rural,2017,Youth,2017,0,NA,0.77928555,0.961878896,0.405819893,0.262283951,Rajasthan
6530,NA,0.205657497,0.357494324,0.283972949,0.080534153,0.204776019,0.226836205,0.568387747,0.331612796,0.121468753,0.091451377,0.071052812,0.073521391,0.642505646,State+Urban+youth,8,0,state,urban/rural,2017,Youth,2017,1,NA,0.683518589,0.868701458,0.497020841,0.359829158,Rajasthan
6531,NA,0.041092921,0.509039879,0.488121957,0.030850612,0.407005996,0.082850777,0.51014322,NA,0.024066947,0.10994193,0.171458632,0.013563439,0.680969059,State+Urban+youth,8,1,state,urban/rural,2017,Youth,2017,0,NA,1.081128001,1.262043834,0.281270623,0.139550507,Rajasthan
6532,NA,0.202335313,0.344501585,0.274796754,0.034874197,0.520559967,0.142957121,0.336482912,0.235391945,0.005660862,0.118369937,0.150765955,0.069704838,0.655498385,State+Urban+youth,8,1,state,urban/rural,2017,Youth,2017,1,NA,0.836724341,1.110421419,0.406700045,0.202914685,Rajasthan
6533,NA,0.038061883,0.513384998,0.493844599,0.05261666,0.07975021,0.195762426,0.724487364,NA,0.171541616,0.049532399,0.045643106,0.011363917,0.721918941,State+Urban+youth,9,0,state,urban/rural,2017,Youth,2017,0,NA,0.680288911,0.970362484,0.495100349,0.272633284,Uttar Pradesh
6534,NA,0.205826372,0.32573846,0.25869289,0.082704112,0.143015787,0.269882977,0.587101221,0.361205369,0.125346214,0.079025455,0.054321229,0.067045562,0.67426151,State+Urban+youth,9,0,state,urban/rural,2017,Youth,2017,1,NA,0.472845554,0.737350166,0.663449168,0.46631065,Uttar Pradesh
6535,NA,0.054151416,0.494513094,0.467734516,0.024764914,0.374914467,0.099743471,0.525342047,NA,0.020521803,0.084660806,0.181543142,0.019145014,0.694129229,State+Urban+youth,9,1,state,urban/rural,2017,Youth,2017,0,NA,1.212534189,1.484225273,0.341436476,0.138059601,Uttar Pradesh
6536,NA,0.235202506,0.349658132,0.267417669,0.050723694,0.430788934,0.131869435,0.43734163,0.307552189,0.008315149,0.107040726,0.15206179,0.08224047,0.650341868,State+Urban+youth,9,1,state,urban/rural,2017,Youth,2017,1,NA,0.657436669,1.084641099,0.637754202,0.343371093,Uttar Pradesh
6537,NA,0.022161737,0.475175649,0.464644909,0.016779996,0.110101327,0.302741468,0.58715719,NA,0.12475948,0.056236867,0.067468911,0.006333487,0.74520123,State+Urban+youth,10,0,state,urban/rural,2017,Youth,2017,0,NA,0.993967175,1.196390152,0.233892575,0.075808726,Bihar
6538,NA,0.241118103,0.246193275,0.186831623,0.0248341,0.127451688,0.464600772,0.40794754,0.321039647,0.07468608,0.064529799,0.047615744,0.059361659,0.75380671,State+Urban+youth,10,0,state,urban/rural,2017,Youth,2017,1,NA,0.889368951,1.076011539,0.316568136,0.153345078,Bihar
6539,NA,0.031760059,0.482392013,0.467071235,0.010265515,0.318222195,0.179012433,0.502765357,NA,0.020605795,0.065482602,0.182904348,0.008806804,0.722200453,State+Urban+youth,10,1,state,urban/rural,2017,Youth,2017,0,NA,1.144919872,1.386689067,0.242269158,0.060956765,Bihar
6540,NA,0.29112345,0.232219383,0.164614871,0.021247165,0.286142558,0.336977035,0.376880407,0.269446194,0.016030364,0.049233861,0.099350646,0.067604505,0.767780602,State+Urban+youth,10,1,state,urban/rural,2017,Youth,2017,1,NA,0.731538475,1.049293637,0.497914404,0.232235447,Bihar
6541,NA,0.014668084,0.680542707,0.670560479,0.11373429,0.257737041,0.030836858,0.711426079,NA,0.259067416,0.059669361,0.161619291,0.007148413,0.512495518,State+Urban+youth,11,0,state,urban/rural,2017,Youth,2017,0,NA,1.107466459,1.415052891,0.409295917,0.199061185,Sikkim
6542,NA,0.151487932,0.40870744,0.346793175,0.114882991,0.358381629,0.043144584,0.598473787,0.169549435,0.158329934,0.051934563,0.136528686,0.061914239,0.59129256,State+Urban+youth,11,0,state,urban/rural,2017,Youth,2017,1,NA,1.268790722,1.37204051,0.456676036,0.391913354,Sikkim
6543,NA,0.020062974,0.655242682,0.642096579,0.056097154,0.42098555,0.048777837,0.530236602,NA,0.005211975,0.119650245,0.352797747,0.009779484,0.512560546,State+Urban+youth,11,1,state,urban/rural,2017,Youth,2017,0,NA,1.611096859,1.764881968,0.206154153,0.104320966,Sikkim
6544,NA,0.137036651,0.474493682,0.409470677,0.050721787,0.66526866,0.101951458,0.23277989,0.132839516,0,0.130465195,0.279005468,0.065023027,0.525506318,State+Urban+youth,11,1,state,urban/rural,2017,Youth,2017,1,NA,1.5216223,1.910316348,0.313849688,0.153069437,Sikkim
6545,NA,0.002265808,0.566954494,0.565669894,0.048653256,0.269286692,0.032454789,0.698258519,NA,0.185597777,0.015572493,0.153246433,0.001203186,0.644380093,State+Urban+youth,12,0,state,urban/rural,2017,Youth,2017,0,NA,1.456498742,1.682908058,0.284914732,0.134102643,Arunachal Pradesh
6546,NA,0.241658226,0.265442997,0.201296523,0.108712777,0.155789807,0.043802008,0.800408185,0.146415323,0.158617303,0.004936293,0.037742913,0.064146481,0.734556973,State+Urban+youth,12,0,state,urban/rural,2017,Youth,2017,1,NA,0.357372016,0.528859854,0.78416729,0.650696099,Arunachal Pradesh
6547,NA,0.012513903,0.556481004,0.549517214,0.002772297,0.576669455,0.077926844,0.345403701,NA,0.029923001,0.060226865,0.241569385,0.004198771,0.664081991,State+Urban+youth,12,1,state,urban/rural,2017,Youth,2017,0,NA,2.367905855,2.443254471,0.068660505,0.015353964,Arunachal Pradesh
6548,NA,0.409593821,0.209456235,0.123664252,0.014630797,0.570144773,0.08136671,0.348488539,0.132352591,0.001070233,0.017741499,0.10485252,0.085791983,0.790543735,State+Urban+youth,12,1,state,urban/rural,2017,Youth,2017,1,NA,1.795165062,1.961487889,0.252586186,0.134758398,Arunachal Pradesh
6549,NA,0.02077144,0.477802485,0.467877835,0.002759389,0.39588061,0.007239734,0.596879661,NA,0.150137126,0.033388764,0.140824631,0.006880138,0.66876936,State+Urban+youth,13,0,state,urban/rural,2017,Youth,2017,0,NA,1.262905598,1.540073514,0.314333886,0.091172695,Nagaland
6550,NA,0.574695408,0.354444921,0.150747061,0.027635606,0.237326697,0.024160385,0.738512933,0.511830807,0.084388174,0.003773279,0.0625856,0.203697845,0.645555079,State+Urban+youth,13,0,state,urban/rural,2017,Youth,2017,1,NA,0.924972117,1.205807924,0.408221006,0.229685247,Nagaland
6551,NA,0.060209177,0.484089673,0.454943031,0.002935762,0.628183603,0.014369132,0.357447267,NA,0.020129118,0.022878988,0.254582733,0.019065626,0.68334353,State+Urban+youth,13,1,state,urban/rural,2017,Youth,2017,0,NA,1.790933013,1.939333558,0.116954505,0.029180715,Nagaland
6552,NA,0.560899258,0.312252402,0.137110263,0,0.6574471,0.020168165,0.322384775,0.315808356,0.006708399,0.007273966,0.1231279,0.175142139,0.687747598,State+Urban+youth,13,1,state,urban/rural,2017,Youth,2017,1,NA,1.573987842,1.8644557,0.206136853,0.041379843,Nagaland
6553,NA,0.032172751,0.56555295,0.547357559,0.04326725,0.186821103,0.086752817,0.726426065,NA,0.174735144,0.055981789,0.127068892,0.013694769,0.628519416,State+Urban+youth,14,0,state,urban/rural,2017,Youth,2017,0,NA,0.984978497,1.192577839,0.300583363,0.149906456,Manipur
6554,NA,0.355373442,0.342670232,0.220894337,0.025596641,0.286422133,0.143459514,0.570118368,0.3129704,0.06688568,0.05332239,0.100686267,0.121775895,0.657329798,State+Urban+youth,14,0,state,urban/rural,2017,Youth,2017,1,NA,0.825408459,1.157342196,0.422517747,0.201178536,Manipur
6555,NA,0.052040402,0.545273304,0.516897082,0.007283873,0.367493212,0.104190409,0.528316379,NA,0.058270052,0.077069663,0.219585583,0.019971138,0.625103593,State+Urban+youth,14,1,state,urban/rural,2017,Youth,2017,0,NA,1.271364212,1.489328742,0.252440929,0.095170386,Manipur
6556,NA,0.377689153,0.280257374,0.174407199,0.010680223,0.407815605,0.128093123,0.464091271,0.232489377,0.01584366,0.052788589,0.105774954,0.105850168,0.719742656,State+Urban+youth,14,1,state,urban/rural,2017,Youth,2017,1,NA,1.028631091,1.402506471,0.411251426,0.163922757,Manipur
6557,NA,0.00587248,0.604707122,0.601155996,0.080812328,0.138019785,0.040268965,0.821711242,NA,0.278303117,0.02882218,0.102962911,0.002422461,0.587489307,State+Urban+youth,15,0,state,urban/rural,2017,Youth,2017,0,NA,1.289657593,1.489312172,0.274197251,0.167228803,Mizoram
6558,NA,0.19390282,0.436972409,0.352242231,0.187942252,0.089711778,0.116038121,0.794250131,0.239876032,0.243781492,0.056663863,0.051796868,0.084730178,0.56302762,State+Urban+youth,15,0,state,urban/rural,2017,Youth,2017,1,NA,0.681625545,0.73611629,0.627079427,0.591015816,Mizoram
6559,NA,0.041922975,0.578903079,0.554633737,0.025252488,0.486899644,0.085466079,0.427634269,NA,0.052960701,0.062281482,0.259746909,0.016408553,0.608602345,State+Urban+youth,15,1,state,urban/rural,2017,Youth,2017,0,NA,2.122601748,2.230282784,0.132318497,0.06630519,Mizoram
6560,NA,0.401875436,0.357394487,0.213766426,0.025331417,0.500663817,0.171608359,0.327727795,0.192382857,0.025822118,0.048883047,0.139061257,0.143628076,0.642605484,State+Urban+youth,15,1,state,urban/rural,2017,Youth,2017,1,NA,1.634454727,1.995727658,0.301135987,0.12909773,Mizoram
6561,NA,0.023238536,0.514825642,0.502861857,0.00687702,0.175900623,0.261915922,0.56218344,NA,0.130982071,0.07603427,0.152643636,0.00855682,0.631783187,State+Urban+youth,16,0,state,urban/rural,2017,Youth,2017,0,NA,1.071285367,1.382374763,0.348652005,0.110511295,Tripura
6562,NA,0.198914886,0.345255017,0.276578665,0.033469122,0.243425891,0.196744144,0.55982995,0.304622024,0.090745978,0.039381903,0.146450773,0.06867636,0.654744983,State+Urban+youth,16,0,state,urban/rural,2017,Youth,2017,1,NA,0.758034468,1.111803412,0.532487273,0.255601108,Tripura
6563,NA,0.038827203,0.471005857,0.45271799,0.005962188,0.459458292,0.139809638,0.40073207,NA,0.018724283,0.07152544,0.260514557,0.014146243,0.635089517,State+Urban+youth,16,1,state,urban/rural,2017,Youth,2017,0,NA,1.584510684,1.787332892,0.229991719,0.09126588,Tripura
6564,NA,0.23476702,0.356319547,0.272667468,0.015700441,0.371738702,0.326052308,0.30220899,0.245720416,0.015114326,0.08848317,0.169069961,0.083652079,0.643680453,State+Urban+youth,16,1,state,urban/rural,2017,Youth,2017,1,NA,0.765150607,1.279955506,0.623448849,0.226257995,Tripura
6565,NA,0.000523761,0.809500933,0.809076965,0.187355474,0.130164579,0.08015006,0.789685369,NA,0.280233204,0.036521669,0.102919847,0.000218626,0.580106676,State+Urban+youth,17,0,state,urban/rural,2017,Youth,2017,0,NA,1.123592496,1.325849771,0.402719855,0.288134754,Meghalaya
6566,NA,0.019837836,0.44180578,0.433041304,0.189102754,0.108421989,0.173206955,0.718371034,0.102549128,0.284738779,0.062810697,0.085491829,0.00876447,0.55819422,State+Urban+youth,17,0,state,urban/rural,2017,Youth,2017,1,NA,0.603824019,0.867030203,0.685599625,0.532952368,Meghalaya
6567,NA,0.005718132,0.631740928,0.628128588,0.024523195,0.524802208,0.120439917,0.354757875,NA,0.027891971,0.057266898,0.288517296,0.002149018,0.624174833,State+Urban+youth,17,1,state,urban/rural,2017,Youth,2017,0,NA,2.081645012,2.215878487,0.177131563,0.100446217,Meghalaya
6568,NA,0.206001073,0.330126017,0.262119681,0.02390782,0.441064715,0.336686552,0.222248748,0.127506688,0.006137431,0.082179204,0.173803061,0.068006307,0.669874012,State+Urban+youth,17,1,state,urban/rural,2017,Youth,2017,1,NA,1.46808064,1.771575093,0.34868291,0.177521646,Meghalaya
6569,NA,0.012223206,0.535281599,0.528738737,0.014310281,0.226179168,0.184088111,0.589732707,NA,0.176964194,0.052531194,0.117440805,0.005329817,0.647733986,State+Urban+youth,18,0,state,urban/rural,2017,Youth,2017,0,NA,1.121338129,1.384183168,0.261661351,0.094363734,Assam
6570,NA,0.2790564,0.365183175,0.263276488,0.053726994,0.246827617,0.246312678,0.50685972,0.323196471,0.122438103,0.054046106,0.086792268,0.101906702,0.634816825,State+Urban+youth,18,0,state,urban/rural,2017,Youth,2017,1,NA,0.746751249,1.095325351,0.494249344,0.265672058,Assam
6571,NA,0.011587266,0.502103508,0.496285498,0.006300876,0.417987823,0.074926987,0.507085204,NA,0.020597542,0.076618418,0.267756462,0.004265603,0.630761981,State+Urban+youth,18,1,state,urban/rural,2017,Youth,2017,0,NA,1.499402046,1.628259182,0.190956444,0.090300381,Assam
6572,NA,0.220168769,0.364914596,0.284571797,0.022405425,0.548718095,0.106924035,0.344357878,0.219303057,0.008757084,0.073677875,0.202136829,0.080342799,0.635085404,State+Urban+youth,18,1,state,urban/rural,2017,Youth,2017,1,NA,1.199806213,1.499838591,0.376881868,0.177493989,Assam
6573,NA,0.03763824,0.551895976,0.531123579,0.026553536,0.132423893,0.349683285,0.517892838,NA,0.188976943,0.079690807,0.091834895,0.014489011,0.625008345,State+Urban+youth,19,0,state,urban/rural,2017,Youth,2017,0,NA,0.56424129,0.966175437,0.602871954,0.308142096,West Bengal
6574,NA,0.148381799,0.386147469,0.32885021,0.048477013,0.168502778,0.439333946,0.392163277,0.379556566,0.129576877,0.124832228,0.074441098,0.057297252,0.613852561,State+Urban+youth,19,0,state,urban/rural,2017,Youth,2017,1,NA,0.447581768,0.854079545,0.691423655,0.400454611,West Bengal
6575,NA,0.034917831,0.520894468,0.502705991,0.015255714,0.42320323,0.138241976,0.438554823,NA,0.015688246,0.130182773,0.222062171,0.01393308,0.618133724,State+Urban+youth,19,1,state,urban/rural,2017,Youth,2017,0,NA,1.022773981,1.385962248,0.479634315,0.234414354,West Bengal
6576,NA,0.219856158,0.408181518,0.318440288,0.021490643,0.467967451,0.217164904,0.314867646,0.282040358,0.006373805,0.145402908,0.166663572,0.089741223,0.591818511,State+Urban+youth,19,1,state,urban/rural,2017,Youth,2017,1,NA,0.691669464,1.110692501,0.645618677,0.384486854,West Bengal
6577,NA,0.048230369,0.494033396,0.470205992,0.034477882,0.106052995,0.211932823,0.682014167,NA,0.138805628,0.067818269,0.053888317,0.014729751,0.724758029,State+Urban+youth,20,0,state,urban/rural,2017,Youth,2017,0,NA,0.602878153,0.912931263,0.557621837,0.313174456,Jharkhand
6578,NA,0.238979504,0.344212323,0.261952609,0.059549361,0.133731052,0.364846289,0.501422644,0.376008868,0.117459975,0.088061787,0.056430858,0.082259685,0.655787706,State+Urban+youth,20,0,state,urban/rural,2017,Youth,2017,1,NA,0.435414702,0.773097754,0.687486529,0.406720221,Jharkhand
6579,NA,0.037183531,0.483568668,0.465587884,0.019367905,0.415884018,0.205519482,0.378596514,NA,0.015572404,0.121046953,0.158059925,0.012071219,0.693249464,State+Urban+youth,20,1,state,urban/rural,2017,Youth,2017,0,NA,1.215088367,1.519888043,0.363029867,0.151369065,Jharkhand
6580,NA,0.361026466,0.27321586,0.174577698,0.017904984,0.379881561,0.265310824,0.354807615,0.253553957,0.005025093,0.077289589,0.092263021,0.098638147,0.72678417,State+Urban+youth,20,1,state,urban/rural,2017,Youth,2017,1,NA,0.678513408,1.023356795,0.607058048,0.346441984,Jharkhand
6581,NA,0.044872805,0.513931394,0.49086985,0.03954475,0.108785138,0.25513953,0.636075318,NA,0.182464495,0.077235974,0.064121149,0.01532668,0.660851717,State+Urban+youth,21,0,state,urban/rural,2017,Youth,2017,0,NA,0.534822524,0.925431788,0.614456832,0.320764065,Odisha
6582,NA,0.28094855,0.360337287,0.259101033,0.063160382,0.161524147,0.359636903,0.47883895,0.412229389,0.116954245,0.087668873,0.054477926,0.101236232,0.639662743,State+Urban+youth,21,0,state,urban/rural,2017,Youth,2017,1,NA,0.431255788,0.754196882,0.69460851,0.476846367,Odisha
6583,NA,0.036996592,0.502433717,0.483845383,0.028030649,0.412479162,0.118373938,0.469146907,NA,0.019384682,0.098598614,0.219971895,0.014386176,0.647658646,State+Urban+youth,21,1,state,urban/rural,2017,Youth,2017,0,NA,1.208247781,1.42466104,0.361753941,0.207739621,Odisha
6584,NA,0.259512901,0.325999379,0.241398335,0.02263104,0.491108268,0.211651638,0.297240078,0.288558722,0.006003184,0.092386156,0.143008992,0.084601045,0.674000621,State+Urban+youth,21,1,state,urban/rural,2017,Youth,2017,1,NA,0.958917677,1.281610608,0.470813423,0.26755169,Odisha
6585,NA,0.02762782,0.668524325,0.650054455,0.139625475,0.097337693,0.246878535,0.655783772,NA,0.284044027,0.070186235,0.05016185,0.011482608,0.58412528,State+Urban+youth,22,0,state,urban/rural,2017,Youth,2017,0,NA,0.399609715,0.731861472,0.729220867,0.488884687,Chhattisgarh
6586,NA,0.188452333,0.442486316,0.359098732,0.16532658,0.10001491,0.287438631,0.612546444,0.254006118,0.229372233,0.074906603,0.054819893,0.083387576,0.557513714,State+Urban+youth,22,0,state,urban/rural,2017,Youth,2017,1,NA,0.188717172,0.46772185,0.86030066,0.671613634,Chhattisgarh
6587,NA,0.038975388,0.599661827,0.576289773,0.033576012,0.472022206,0.184698761,0.343279034,NA,0.045853015,0.140299439,0.192321807,0.015833367,0.605692387,State+Urban+youth,22,1,state,urban/rural,2017,Youth,2017,0,NA,1.186167479,1.493319631,0.459264427,0.244983956,Chhattisgarh
6588,NA,0.245437443,0.392856658,0.296434939,0.041223723,0.5472157,0.120471708,0.332312554,0.283286989,0.021844029,0.095806524,0.178784385,0.096421733,0.607143342,State+Urban+youth,22,1,state,urban/rural,2017,Youth,2017,1,NA,0.722209454,1.121829867,0.681214511,0.373934716,Chhattisgarh
6589,NA,0.039640799,0.663276374,0.636983573,0.125965834,0.07231129,0.285152107,0.642536581,NA,0.297025055,0.04993299,0.043757349,0.017361816,0.59192276,State+Urban+youth,23,0,state,urban/rural,2017,Youth,2017,0,NA,0.532922328,0.856555045,0.608450353,0.381492108,Madhya Pradesh
6590,NA,0.149674758,0.446878314,0.379991919,0.138921961,0.108534195,0.364969581,0.526496232,0.322541773,0.244606689,0.087693013,0.047692224,0.066886403,0.553121686,State+Urban+youth,23,0,state,urban/rural,2017,Youth,2017,1,NA,0.341192722,0.645633996,0.759595335,0.53594023,Madhya Pradesh
6591,NA,0.044079337,0.533954263,0.510417879,0.027246645,0.393063605,0.140967578,0.465968817,NA,0.032639123,0.103557765,0.199815378,0.01702863,0.646959126,State+Urban+youth,23,1,state,urban/rural,2017,Youth,2017,0,NA,1.187666297,1.461611509,0.404886037,0.207522333,Madhya Pradesh
6592,NA,0.231003538,0.38210997,0.293841213,0.056641646,0.465981156,0.168598264,0.36542058,0.254830897,0.019251579,0.089305565,0.185284063,0.088268757,0.61789006,State+Urban+youth,23,1,state,urban/rural,2017,Youth,2017,1,NA,0.722593844,1.16896975,0.64239794,0.348792076,Madhya Pradesh
6593,NA,0.011030606,0.556480646,0.550342321,0.068662167,0.117058106,0.213738993,0.669202924,NA,0.256906271,0.043829061,0.062643498,0.005428257,0.631192923,State+Urban+youth,24,0,state,urban/rural,2017,Youth,2017,0,NA,0.770595431,1.000758529,0.410331011,0.240472451,Gujarat
6594,NA,0.147717565,0.441952795,0.376668602,0.116291791,0.237805903,0.253666133,0.508527994,0.370882064,0.203773409,0.106372699,0.066522501,0.065284193,0.558047175,State+Urban+youth,24,0,state,urban/rural,2017,Youth,2017,1,NA,0.62555778,0.786948621,0.568728745,0.448229671,Gujarat
6595,NA,0.01400819,0.502108097,0.495074451,0.022020346,0.453208148,0.089867271,0.456924587,NA,0.020096067,0.149884075,0.172545969,0.005063736,0.65241015,State+Urban+youth,24,1,state,urban/rural,2017,Youth,2017,0,NA,1.206972122,1.339388967,0.208213717,0.112871252,Gujarat
6596,NA,0.11447458,0.413659006,0.36630556,0.047372133,0.611942828,0.075880587,0.312176585,0.280186027,0.013725139,0.164239958,0.18834047,0.047353439,0.586341023,State+Urban+youth,24,1,state,urban/rural,2017,Youth,2017,1,NA,1.009398341,1.213461518,0.35612151,0.205138624,Gujarat
