sector,state_numeric,m_poor_1_33,bpl,aadhar,health_insu_govt,household_has_preg_benefits,household_has_preg_fin,household_health_met,household_angan_benefits,household_angan_immun,household_angan_ecc,Year
99,Punjab,0,0.22,0.99,0.18,0.2,0.05,0.15,0.2,0.15,0.06,2019
99,Tripura,0,0.41,0.99,0.19,0.25,0.06,0.25,0.24,0.14,0.12,2019
99,Assam,0,0.5,0.24,0.02,0.27,0.15,0.36,0.27,0.14,0.06,2019
99,Maharashtra,1,0.44,0.9,0.07,0.29,0.08,0.27,0.4,0.33,0.2,2015
99,Goa,0,0.3,1,0.6,0.31,0.04,0.19,0.25,0.14,0.07,2019
0,Sikkim,0,0.49,0.99,0.12,0.2,0.03,0.33,0.21,0.14,0.07,2019
99,Meghalaya,0,0.61,0.55,0.65,0.26,0.1,0.23,0.29,0.14,0.05,2019
1,Maharashtra,1,0.29,0.85,0.02,0.25,0.05,0.26,0.3,0.22,0.16,2015
0,Maharashtra,0,0.34,0.94,0.08,0.18,0.03,0.23,0.24,0.18,0.12,2015
99,Maharashtra,0,0.24,0.95,0.07,0.13,0.03,0.18,0.17,0.13,0.08,2015
1,Maharashtra,0,0.16,0.95,0.06,0.09,0.03,0.14,0.11,0.07,0.05,2015
0,Manipur,1,0.26,0.49,0.02,0.17,0.16,0.09,0.28,0.04,0.01,2015
99,Pondicherry,0,0.19,1,0.22,0.24,0.09,0.19,0.2,0.14,0.06,2019
99,Mizoram,0,0.25,0.97,0.48,0.33,0.17,0.09,0.31,0.13,0.12,2019
99,Manipur,1,0.26,0.53,0.02,0.17,0.17,0.09,0.27,0.04,0.02,2015
1,Manipur,1,0.27,0.64,0,0.18,0.2,0.09,0.22,0.04,0.03,2015
0,Manipur,0,0.28,0.6,0.03,0.11,0.13,0.1,0.18,0.03,0.01,2015
99,Manipur,0,0.27,0.64,0.02,0.1,0.12,0.09,0.16,0.02,0.01,2015
99,Sikkim,0,0.45,0.98,0.12,0.18,0.03,0.25,0.2,0.13,0.07,2019
99,Arunachal Pradesh,1,0.62,0.94,0.16,0.21,0.04,0.22,0.27,0.13,0.05,2019
1,Manipur,0,0.25,0.69,0.01,0.08,0.11,0.07,0.14,0.02,0.01,2015
0,Manipur,1,0.5,0.97,0.1,0.26,0.12,0.12,0.36,0.13,0.01,2019
0,Meghalaya,1,0.24,0,0.31,0.38,0.11,0.3,0.5,0.19,0.09,2015
99,Meghalaya,1,0.24,0,0.3,0.37,0.12,0.29,0.5,0.19,0.09,2015
1,Meghalaya,1,0.17,0,0.15,0.23,0.3,0.21,0.38,0.12,0.09,2015
0,Meghalaya,0,0.22,0.01,0.42,0.23,0.09,0.24,0.31,0.12,0.06,2015
99,Meghalaya,0,0.19,0.01,0.36,0.2,0.09,0.21,0.26,0.1,0.05,2015
0,Arunachal Pradesh,1,0.63,0.94,0.15,0.21,0.04,0.22,0.27,0.13,0.05,2019
1,Tripura,0,0.34,0.99,0.12,0.22,0.06,0.18,0.22,0.13,0.12,2019
1,Meghalaya,0,0.11,0.02,0.2,0.11,0.12,0.14,0.13,0.04,0.02,2015
1,Mizoram,1,0.32,0.49,0.35,0.34,0.23,0.13,0.53,0.34,0.32,2015
99,Mizoram,1,0.51,0.29,0.33,0.19,0.13,0.11,0.44,0.15,0.15,2015
1,Mizoram,0,0.17,0.65,0.4,0.21,0.22,0.13,0.33,0.14,0.13,2015
99,Mizoram,0,0.25,0.6,0.46,0.21,0.21,0.15,0.35,0.14,0.15,2015
0,Goa,0,0.38,1,0.7,0.31,0.05,0.2,0.24,0.12,0.07,2019
0,Mizoram,0,0.38,0.51,0.55,0.22,0.19,0.18,0.39,0.13,0.17,2015
99,Kerala,1,0.89,0.97,0.52,0.46,0.18,0.52,0.43,0.12,0.22,2019
0,Mizoram,1,0.53,0.27,0.32,0.18,0.12,0.11,0.43,0.13,0.14,2015
0,Jammu & Kashmir,0,0.6,1,0.04,0.18,0.2,0.22,0.23,0.12,0.06,2019
1,MP,1,0.57,0.81,0.22,0.35,0.38,0.25,0.48,0.39,0.16,2015
99,MP,1,0.59,0.78,0.15,0.31,0.31,0.23,0.44,0.36,0.13,2015
0,MP,1,0.59,0.78,0.15,0.3,0.31,0.22,0.44,0.36,0.12,2015
99,Manipur,1,0.48,0.97,0.09,0.25,0.12,0.1,0.33,0.12,0.01,2019
0,MP,0,0.48,0.84,0.14,0.17,0.17,0.18,0.23,0.19,0.07,2015
1,Sikkim,0,0.39,0.97,0.12,0.14,0.02,0.14,0.18,0.12,0.06,2019
99,MP,0,0.42,0.87,0.15,0.17,0.17,0.18,0.23,0.18,0.07,2015
1,MP,0,0.34,0.91,0.17,0.18,0.17,0.17,0.22,0.18,0.07,2015
0,Nagaland,1,0.29,0.83,0.06,0.04,0.08,0.04,0.32,0.05,0,2015
0,Pondicherry,0,0.21,1,0.21,0.23,0.09,0.14,0.16,0.11,0.06,2019
99,Nagaland,1,0.27,0.81,0.05,0.04,0.09,0.04,0.29,0.05,0,2015
1,Mizoram,0,0.15,0.97,0.41,0.29,0.17,0.08,0.27,0.11,0.08,2019
0,Himachal Pradesh,0,0.2,1,0.19,0.28,0.06,0.42,0.25,0.11,0.07,2019
99,Jammu & Kashmir,0,0.54,1,0.04,0.16,0.19,0.2,0.2,0.11,0.05,2019
0,Nagaland,1,0.83,0.95,0.18,0.18,0.1,0.17,0.46,0.11,0,2019
1,Chandigarh,1,0.04,1,0.15,0.38,0,0.29,0.2,0.11,0,2019
0,Nagaland,0,0.32,0.87,0.06,0.04,0.08,0.04,0.22,0.04,0,2015
99,Nagaland,0,0.29,0.86,0.05,0.03,0.09,0.04,0.17,0.03,0,2015
1,Nagaland,1,0.15,0.7,0.02,0.02,0.16,0.03,0.13,0.02,0,2015
1,Nagaland,0,0.24,0.83,0.03,0.01,0.12,0.03,0.09,0.01,0,2015
99,Chandigarh,1,0.04,1,0.16,0.39,0,0.28,0.19,0.11,0,2019
0,Odisha,1,0.54,0.86,0.48,0.45,0.36,0.2,0.51,0.42,0.3,2015
99,Odisha,1,0.53,0.85,0.47,0.44,0.36,0.2,0.51,0.42,0.29,2015
1,Pondicherry,1,0.26,0.98,0.1,0.28,0.14,0.41,0.24,0.1,0.03,2019
1,Odisha,1,0.44,0.81,0.28,0.42,0.32,0.19,0.49,0.4,0.29,2015
0,Kerala,0,0.5,0.99,0.56,0.25,0.06,0.58,0.23,0.1,0.05,2019
1,Manipur,0,0.39,0.99,0.07,0.16,0.12,0.08,0.21,0.1,0.02,2019
1,Assam,0,0.3,0.41,0.04,0.19,0.09,0.26,0.19,0.1,0.05,2019
99,Himachal Pradesh,0,0.18,1,0.18,0.27,0.05,0.39,0.24,0.1,0.06,2019
1,West Bengal,0,0.32,0.99,0.2,0.19,0.07,0.31,0.19,0.1,0.11,2019
0,Odisha,0,0.42,0.89,0.49,0.25,0.24,0.16,0.29,0.24,0.16,2015
99,Nagaland,1,0.78,0.95,0.16,0.17,0.1,0.16,0.43,0.1,0,2019
99,Odisha,0,0.37,0.89,0.43,0.24,0.23,0.15,0.28,0.22,0.15,2015
1,Odisha,0,0.19,0.87,0.2,0.21,0.19,0.11,0.22,0.17,0.1,2015
0,Pondicherry,1,0.21,0.95,0.17,0.36,0.12,0.27,0.37,0.24,0.14,2015
99,Pondicherry,1,0.17,0.97,0.21,0.33,0.13,0.4,0.33,0.23,0.1,2015
1,Maharashtra,0,0.22,0.99,0.08,0.11,0.02,0.14,0.14,0.1,0.06,2019
99,Kerala,0,0.46,0.99,0.5,0.23,0.06,0.57,0.22,0.1,0.05,2019
1,Pondicherry,1,0.1,1,0.27,0.28,0.14,0.6,0.27,0.23,0.05,2015
0,Pondicherry,0,0.22,0.99,0.13,0.23,0.11,0.3,0.27,0.22,0.15,2015
1,Punjab,0,0.18,0.99,0.18,0.13,0.04,0.12,0.13,0.09,0.04,2019
99,Manipur,0,0.44,0.99,0.1,0.18,0.12,0.09,0.23,0.09,0.02,2019
1,Mizoram,1,0.33,0.92,0.36,0.72,0.26,0.11,0.48,0.09,0.02,2019
99,Pondicherry,0,0.22,0.98,0.19,0.21,0.11,0.32,0.23,0.17,0.09,2015
1,Pondicherry,0,0.22,0.97,0.21,0.21,0.11,0.32,0.21,0.15,0.07,2015
0,Punjab,1,0.23,0.97,0.18,0.45,0.21,0.38,0.49,0.32,0.23,2015
99,Punjab,1,0.2,0.96,0.14,0.43,0.19,0.37,0.46,0.3,0.22,2015
1,Himachal Pradesh,1,0.05,1,0.04,0.27,0.13,0.15,0.27,0.09,0,2019
1,Kerala,0,0.41,0.99,0.43,0.21,0.05,0.56,0.21,0.09,0.05,2019
1,Punjab,1,0.11,0.92,0.03,0.37,0.14,0.33,0.41,0.26,0.19,2015
0,Manipur,0,0.47,0.99,0.12,0.19,0.11,0.1,0.24,0.09,0.02,2019
0,Punjab,0,0.15,0.99,0.21,0.22,0.08,0.25,0.25,0.17,0.1,2015
1,Lakshadweep,0,0.36,0.99,0.18,0.35,0.06,0.38,0.26,0.08,0.06,2019
99,Punjab,0,0.11,0.99,0.18,0.19,0.07,0.24,0.21,0.14,0.08,2015
0,Arunachal Pradesh,0,0.64,0.99,0.26,0.12,0.04,0.19,0.16,0.08,0.04,2019
1,Punjab,0,0.06,0.99,0.14,0.16,0.05,0.22,0.15,0.09,0.06,2015
0,Rajasthan,1,0.35,0.96,0.14,0.26,0.34,0.18,0.33,0.27,0.09,2015
99,Rajasthan,1,0.34,0.96,0.14,0.26,0.34,0.18,0.32,0.26,0.09,2015
1,Rajasthan,1,0.29,0.93,0.11,0.22,0.34,0.15,0.24,0.2,0.08,2015
0,Rajasthan,0,0.22,0.97,0.16,0.16,0.19,0.14,0.18,0.15,0.05,2015
1,Jammu & Kashmir,0,0.4,0.99,0.06,0.12,0.17,0.17,0.15,0.07,0.03,2019
1,Manipur,1,0.39,0.98,0.05,0.21,0.16,0.02,0.22,0.07,0.01,2019
99,Arunachal Pradesh,0,0.6,0.99,0.26,0.11,0.04,0.17,0.15,0.07,0.03,2019
99,Rajasthan,0,0.19,0.97,0.15,0.15,0.19,0.13,0.16,0.13,0.04,2015
1,Rajasthan,0,0.12,0.97,0.13,0.13,0.17,0.11,0.11,0.09,0.03,2015
0,Sikkim,1,0.53,0.92,0.17,0.4,0.29,0.17,0.45,0.3,0.12,2015
99,Lakshadweep,0,0.37,0.99,0.16,0.36,0.05,0.37,0.24,0.07,0.05,2019
99,Sikkim,1,0.45,0.88,0.17,0.36,0.25,0.15,0.4,0.28,0.11,2015
1,Sikkim,1,0.12,0.72,0.16,0.23,0.11,0.05,0.24,0.2,0.08,2015
0,A & N Island,0,0.15,1,0.01,0.14,0.02,0.14,0.15,0.07,0.1,2019
0,Sikkim,0,0.43,0.98,0.26,0.15,0.1,0.13,0.18,0.12,0.05,2015
99,A & N Island,0,0.13,1,0.01,0.15,0.01,0.13,0.15,0.06,0.09,2019
99,Sikkim,0,0.33,0.97,0.25,0.12,0.08,0.12,0.15,0.1,0.04,2015
0,Nagaland,0,0.77,0.98,0.18,0.12,0.08,0.11,0.24,0.06,0,2019
1,Sikkim,0,0.14,0.95,0.24,0.08,0.04,0.1,0.09,0.05,0.02,2015
1,Himachal Pradesh,0,0.08,1,0.11,0.24,0.03,0.2,0.22,0.06,0.04,2019
1,Meghalaya,0,0.4,0.65,0.56,0.1,0.06,0.12,0.13,0.06,0.02,2019
99,Nagaland,0,0.66,0.98,0.16,0.09,0.08,0.09,0.2,0.05,0,2019
1,Tamil Nadu,1,0.29,0.75,0.52,0.43,0.37,0.36,0.47,0.37,0.22,2015
99,Tamil Nadu,1,0.26,0.79,0.59,0.37,0.31,0.32,0.42,0.33,0.19,2015
1,A & N Island,0,0.08,1,0,0.16,0,0.1,0.15,0.05,0.09,2019
0,Tamil Nadu,1,0.25,0.8,0.61,0.36,0.3,0.31,0.41,0.32,0.19,2015
0,Tamil Nadu,0,0.19,0.85,0.68,0.21,0.18,0.29,0.24,0.19,0.1,2015
99,Tamil Nadu,0,0.15,0.85,0.59,0.18,0.16,0.27,0.21,0.16,0.08,2015
1,Tamil Nadu,0,0.12,0.85,0.52,0.16,0.14,0.25,0.17,0.13,0.06,2015
0,Telangana,1,0.94,0.99,0.75,0.32,0.1,0.21,0.43,0.34,0.21,2015
1,Nagaland,1,0.41,0.92,0.08,0.09,0.1,0.1,0.21,0.05,0,2019
99,Telangana,1,0.93,0.99,0.73,0.31,0.11,0.19,0.4,0.32,0.19,2015
1,Telangana,1,0.85,0.94,0.63,0.25,0.14,0.1,0.29,0.23,0.13,2015
0,Telangana,0,0.91,0.99,0.77,0.2,0.04,0.17,0.25,0.2,0.12,2015
99,Telangana,0,0.81,0.99,0.63,0.15,0.04,0.13,0.21,0.16,0.08,2015
1,Nagaland,0,0.47,0.99,0.12,0.05,0.08,0.05,0.13,0.04,0,2019
1,Telangana,0,0.7,0.98,0.49,0.11,0.04,0.1,0.16,0.12,0.04,2015
0,Tripura,1,0.46,0.93,0.71,0.21,0.13,0.05,0.42,0.2,0.23,2015
99,Tripura,1,0.45,0.93,0.68,0.21,0.12,0.05,0.42,0.2,0.22,2015
1,Tripura,1,0.36,0.96,0.48,0.22,0.09,0.04,0.41,0.16,0.16,2015
1,Arunachal Pradesh,0,0.41,0.99,0.27,0.06,0.04,0.09,0.08,0.04,0.01,2019
0,Tripura,0,0.39,0.96,0.69,0.15,0.1,0.07,0.22,0.11,0.1,2015
99,Tripura,0,0.31,0.96,0.56,0.13,0.09,0.06,0.19,0.09,0.09,2015
1,Tripura,0,0.16,0.95,0.29,0.08,0.06,0.04,0.12,0.06,0.06,2015
0,Uttar Pradesh,1,0.32,0.7,0.04,0.3,0.27,0.2,0.35,0.27,0.06,2015
99,Uttar Pradesh,1,0.31,0.71,0.04,0.29,0.26,0.2,0.34,0.26,0.06,2015
1,Uttar Pradesh,1,0.22,0.8,0.02,0.2,0.14,0.18,0.24,0.18,0.04,2015
0,Uttar Pradesh,0,0.27,0.78,0.05,0.17,0.14,0.15,0.2,0.16,0.04,2015
99,Uttar Pradesh,0,0.22,0.82,0.05,0.15,0.12,0.14,0.17,0.13,0.03,2015
1,Uttar Pradesh,0,0.13,0.89,0.04,0.11,0.07,0.12,0.1,0.08,0.02,2015
1,Uttarakhand,1,0.25,0.59,0.05,0.35,0.28,0.2,0.53,0.25,0.09,2015
99,Uttarakhand,1,0.48,0.48,0.14,0.29,0.23,0.2,0.48,0.24,0.11,2015
0,Uttarakhand,1,0.52,0.46,0.15,0.27,0.22,0.2,0.47,0.24,0.11,2015
0,Uttarakhand,0,0.38,0.56,0.18,0.16,0.14,0.15,0.25,0.13,0.05,2015
99,Uttarakhand,0,0.28,0.64,0.16,0.15,0.13,0.14,0.23,0.11,0.05,2015
0,Lakshadweep,0,0.41,1,0.09,0.38,0.02,0.35,0.15,0.01,0.01,2019
1,Uttarakhand,0,0.12,0.77,0.14,0.14,0.12,0.12,0.19,0.08,0.04,2015
0,Chandigarh,1,0,1,1,1,0,0,0,0,0,2019
0,Lakshadweep,1,0.63,1,0.73,0.63,0,0.63,0.37,0,0,2019
99,Lakshadweep,1,0.41,1,0.28,0.55,0,0.71,0.45,0,0,2019
1,Lakshadweep,1,0.26,1,0,0.5,0,0.76,0.5,0,0,2019
0,West Bengal,1,0.51,0.71,0.4,0.39,0.15,0.27,0.5,0.29,0.29,2015
99,West Bengal,1,0.5,0.71,0.38,0.38,0.14,0.27,0.49,0.27,0.28,2015
1,Kerala,1,0.83,0.94,0.5,0.29,0.22,0.71,0.24,0,0.24,2019
1,West Bengal,1,0.4,0.7,0.28,0.32,0.11,0.3,0.43,0.2,0.24,2015
0,West Bengal,0,0.34,0.74,0.33,0.21,0.08,0.21,0.28,0.16,0.15,2015
99,West Bengal,0,0.3,0.75,0.27,0.19,0.07,0.19,0.25,0.14,0.13,2015
1,West Bengal,0,0.23,0.77,0.18,0.14,0.05,0.15,0.18,0.1,0.08,2015
