state_numeric,sector,m_poor_1_33,bpl,aadhar,health_insu_govt,household_has_preg_benefits,household_has_preg_fin,household_health_met,household_angan_benefits,household_angan_immun,household_angan_ecc,round,Year,level,area,dem
Ladakh,1,0,0.52,0.99,0.13,0.23,0.24,0.28,0.27,0.22,0.1,5,2019,State,urban/rural,All Households
Ladakh,99,0,0.61,0.99,0.09,0.22,0.23,0.25,0.24,0.17,0.07,5,2019,State,All,All Households
Lakshadweep,0,1,0.63,1,0.73,0.63,0,0.63,0.37,0,0,5,2019,State,urban/rural,All Households
Lakshadweep,1,1,0.26,1,0,0.5,0,0.76,0.5,0,0,5,2019,State,urban/rural,All Households
Lakshadweep,99,1,0.41,1,0.28,0.55,0,0.71,0.45,0,0,5,2019,State,All,All Households
Lakshadweep,0,0,0.41,1,0.09,0.38,0.02,0.35,0.15,0.01,0.01,5,2019,State,urban/rural,All Households
Lakshadweep,1,0,0.36,0.99,0.18,0.35,0.06,0.38,0.26,0.08,0.06,5,2019,State,urban/rural,All Households
Lakshadweep,99,0,0.37,0.99,0.16,0.36,0.05,0.37,0.24,0.07,0.05,5,2019,State,All,All Households
Lakshadweep,0,1,0,1,0,0,0,0,0,0,0,4,2015,State,urban/rural,All Households
Lakshadweep,1,1,0.5,1,0,0.5,0.5,0,0.67,0,0.17,4,2015,State,urban/rural,All Households
Lakshadweep,99,1,0.36,1,0,0.36,0.36,0,0.48,0,0.12,4,2015,State,All,All Households
Lakshadweep,0,0,0.31,1,0,0.11,0.11,0.15,0.27,0,0.04,4,2015,State,urban/rural,All Households
Lakshadweep,1,0,0.4,0.98,0.02,0.21,0.1,0.14,0.32,0.03,0.08,4,2015,State,urban/rural,All Households
Lakshadweep,99,0,0.38,0.99,0.01,0.19,0.1,0.14,0.31,0.03,0.07,4,2015,State,All,All Households
Madhya Pradesh,0,1,0.66,0.99,0.09,0.54,0.33,0.42,0.51,0.45,0.24,5,2019,State,urban/rural,All Households
Madhya Pradesh,1,1,0.6,0.98,0.12,0.6,0.34,0.4,0.55,0.49,0.27,5,2019,State,urban/rural,All Households
Madhya Pradesh,99,1,0.65,0.99,0.09,0.54,0.33,0.42,0.51,0.46,0.24,5,2019,State,All,All Households
Madhya Pradesh,0,0,0.58,0.99,0.13,0.31,0.19,0.33,0.29,0.26,0.13,5,2019,State,urban/rural,All Households
Madhya Pradesh,1,0,0.4,0.99,0.16,0.29,0.15,0.3,0.28,0.24,0.11,5,2019,State,urban/rural,All Households
Madhya Pradesh,99,0,0.53,0.99,0.14,0.31,0.18,0.32,0.29,0.25,0.12,5,2019,State,All,All Households
Madhya Pradesh,0,1,0.59,0.78,0.15,0.3,0.31,0.22,0.44,0.36,0.12,4,2015,State,urban/rural,All Households
Madhya Pradesh,1,1,0.57,0.81,0.22,0.35,0.38,0.25,0.48,0.39,0.16,4,2015,State,urban/rural,All Households
Madhya Pradesh,99,1,0.59,0.78,0.15,0.31,0.31,0.23,0.44,0.36,0.13,4,2015,State,All,All Households
Madhya Pradesh,0,0,0.48,0.84,0.14,0.17,0.17,0.18,0.23,0.19,0.07,4,2015,State,urban/rural,All Households
Madhya Pradesh,1,0,0.34,0.91,0.17,0.18,0.17,0.17,0.22,0.18,0.07,4,2015,State,urban/rural,All Households
Madhya Pradesh,99,0,0.42,0.87,0.15,0.17,0.17,0.18,0.23,0.18,0.07,4,2015,State,All,All Households
Maharashtra,0,1,0.56,0.99,0.1,0.42,0.09,0.32,0.45,0.38,0.26,5,2019,State,urban/rural,All Households
Maharashtra,1,1,0.33,0.97,0.06,0.25,0.07,0.23,0.32,0.27,0.15,5,2019,State,urban/rural,All Households
Maharashtra,99,1,0.53,0.98,0.09,0.39,0.09,0.31,0.43,0.36,0.24,5,2019,State,All,All Households
Maharashtra,0,0,0.46,1,0.11,0.25,0.05,0.29,0.26,0.21,0.14,5,2019,State,urban/rural,All Households
Maharashtra,1,0,0.22,0.99,0.08,0.11,0.02,0.14,0.14,0.1,0.06,5,2019,State,urban/rural,All Households
Maharashtra,99,0,0.34,0.99,0.1,0.18,0.04,0.22,0.21,0.16,0.11,5,2019,State,All,All Households
Maharashtra,0,1,0.47,0.9,0.07,0.3,0.08,0.27,0.42,0.35,0.21,4,2015,State,urban/rural,All Households
Maharashtra,1,1,0.29,0.85,0.02,0.25,0.05,0.26,0.3,0.22,0.16,4,2015,State,urban/rural,All Households
Maharashtra,99,1,0.44,0.9,0.07,0.29,0.08,0.27,0.4,0.33,0.2,4,2015,State,All,All Households
Maharashtra,0,0,0.34,0.94,0.08,0.18,0.03,0.23,0.24,0.18,0.12,4,2015,State,urban/rural,All Households
Maharashtra,1,0,0.16,0.95,0.06,0.09,0.03,0.14,0.11,0.07,0.05,4,2015,State,urban/rural,All Households
Maharashtra,99,0,0.24,0.95,0.07,0.13,0.03,0.18,0.17,0.13,0.08,4,2015,State,All,All Households
Manipur,0,1,0.5,0.97,0.1,0.26,0.12,0.12,0.36,0.13,0.01,5,2019,State,urban/rural,All Households
Manipur,1,1,0.39,0.98,0.05,0.21,0.16,0.02,0.22,0.07,0.01,5,2019,State,urban/rural,All Households
Manipur,99,1,0.48,0.97,0.09,0.25,0.12,0.1,0.33,0.12,0.01,5,2019,State,All,All Households
Manipur,0,0,0.47,0.99,0.12,0.19,0.11,0.1,0.24,0.09,0.02,5,2019,State,urban/rural,All Households
Manipur,1,0,0.39,0.99,0.07,0.16,0.12,0.08,0.21,0.1,0.02,5,2019,State,urban/rural,All Households
Manipur,99,0,0.44,0.99,0.1,0.18,0.12,0.09,0.23,0.09,0.02,5,2019,State,All,All Households
Manipur,0,1,0.26,0.49,0.02,0.17,0.16,0.09,0.28,0.04,0.01,4,2015,State,urban/rural,All Households
Manipur,1,1,0.27,0.64,0,0.18,0.2,0.09,0.22,0.04,0.03,4,2015,State,urban/rural,All Households
Manipur,99,1,0.26,0.53,0.02,0.17,0.17,0.09,0.27,0.04,0.02,4,2015,State,All,All Households
Manipur,0,0,0.28,0.6,0.03,0.11,0.13,0.1,0.18,0.03,0.01,4,2015,State,urban/rural,All Households
Manipur,1,0,0.25,0.69,0.01,0.08,0.11,0.07,0.14,0.02,0.01,4,2015,State,urban/rural,All Households
Manipur,99,0,0.27,0.64,0.02,0.1,0.12,0.09,0.16,0.02,0.01,4,2015,State,All,All Households
Meghalaya,0,1,0.58,0.27,0.61,0.52,0.13,0.4,0.58,0.26,0.11,5,2019,State,urban/rural,All Households
Meghalaya,1,1,0.61,0.33,0.47,0.4,0.22,0.42,0.45,0.19,0.13,5,2019,State,urban/rural,All Households
Meghalaya,99,1,0.58,0.27,0.6,0.52,0.14,0.4,0.57,0.25,0.11,5,2019,State,All,All Households
Meghalaya,0,0,0.68,0.51,0.68,0.31,0.11,0.26,0.34,0.16,0.06,5,2019,State,urban/rural,All Households
Meghalaya,1,0,0.4,0.65,0.56,0.1,0.06,0.12,0.13,0.06,0.02,5,2019,State,urban/rural,All Households
Meghalaya,99,0,0.61,0.55,0.65,0.26,0.1,0.23,0.29,0.14,0.05,5,2019,State,All,All Households
Meghalaya,0,1,0.24,0,0.31,0.38,0.11,0.3,0.5,0.19,0.09,4,2015,State,urban/rural,All Households
Meghalaya,1,1,0.17,0,0.15,0.23,0.3,0.21,0.38,0.12,0.09,4,2015,State,urban/rural,All Households
Meghalaya,99,1,0.24,0,0.3,0.37,0.12,0.29,0.5,0.19,0.09,4,2015,State,All,All Households
Meghalaya,0,0,0.22,0.01,0.42,0.23,0.09,0.24,0.31,0.12,0.06,4,2015,State,urban/rural,All Households
Meghalaya,1,0,0.11,0.02,0.2,0.11,0.12,0.14,0.13,0.04,0.02,4,2015,State,urban/rural,All Households
Meghalaya,99,0,0.19,0.01,0.36,0.2,0.09,0.21,0.26,0.1,0.05,4,2015,State,All,All Households
Mizoram,0,1,0.61,0.96,0.24,0.48,0.14,0.16,0.51,0.21,0.23,5,2019,State,urban/rural,All Households
Mizoram,1,1,0.33,0.92,0.36,0.72,0.26,0.11,0.48,0.09,0.02,5,2019,State,urban/rural,All Households
Mizoram,99,1,0.59,0.96,0.25,0.5,0.15,0.16,0.5,0.2,0.22,5,2019,State,All,All Households
Mizoram,0,0,0.38,0.97,0.57,0.38,0.16,0.1,0.35,0.16,0.16,5,2019,State,urban/rural,All Households
Mizoram,1,0,0.15,0.97,0.41,0.29,0.17,0.08,0.27,0.11,0.08,5,2019,State,urban/rural,All Households
Mizoram,99,0,0.25,0.97,0.48,0.33,0.17,0.09,0.31,0.13,0.12,5,2019,State,All,All Households
Mizoram,0,1,0.53,0.27,0.32,0.18,0.12,0.11,0.43,0.13,0.14,4,2015,State,urban/rural,All Households
Mizoram,1,1,0.32,0.49,0.35,0.34,0.23,0.13,0.53,0.34,0.32,4,2015,State,urban/rural,All Households
Mizoram,99,1,0.51,0.29,0.33,0.19,0.13,0.11,0.44,0.15,0.15,4,2015,State,All,All Households
Mizoram,0,0,0.38,0.51,0.55,0.22,0.19,0.18,0.39,0.13,0.17,4,2015,State,urban/rural,All Households
Mizoram,1,0,0.17,0.65,0.4,0.21,0.22,0.13,0.33,0.14,0.13,4,2015,State,urban/rural,All Households
Mizoram,99,0,0.25,0.6,0.46,0.21,0.21,0.15,0.35,0.14,0.15,4,2015,State,All,All Households
Nagaland,0,1,0.83,0.95,0.18,0.18,0.1,0.17,0.46,0.11,0,5,2019,State,urban/rural,All Households
Nagaland,1,1,0.41,0.92,0.08,0.09,0.1,0.1,0.21,0.05,0,5,2019,State,urban/rural,All Households
Nagaland,99,1,0.78,0.95,0.16,0.17,0.1,0.16,0.43,0.1,0,5,2019,State,All,All Households
Nagaland,0,0,0.77,0.98,0.18,0.12,0.08,0.11,0.24,0.06,0,5,2019,State,urban/rural,All Households
Nagaland,1,0,0.47,0.99,0.12,0.05,0.08,0.05,0.13,0.04,0,5,2019,State,urban/rural,All Households
Nagaland,99,0,0.66,0.98,0.16,0.09,0.08,0.09,0.2,0.05,0,5,2019,State,All,All Households
Nagaland,0,1,0.29,0.83,0.06,0.04,0.08,0.04,0.32,0.05,0,4,2015,State,urban/rural,All Households
Nagaland,1,1,0.15,0.7,0.02,0.02,0.16,0.03,0.13,0.02,0,4,2015,State,urban/rural,All Households
Nagaland,99,1,0.27,0.81,0.05,0.04,0.09,0.04,0.29,0.05,0,4,2015,State,All,All Households
Nagaland,0,0,0.32,0.87,0.06,0.04,0.08,0.04,0.22,0.04,0,4,2015,State,urban/rural,All Households
Nagaland,1,0,0.24,0.83,0.03,0.01,0.12,0.03,0.09,0.01,0,4,2015,State,urban/rural,All Households
Nagaland,99,0,0.29,0.86,0.05,0.03,0.09,0.04,0.17,0.03,0,4,2015,State,All,All Households
Odisha,0,1,0.62,0.99,0.44,0.59,0.39,0.61,0.56,0.49,0.35,5,2019,State,urban/rural,All Households
Odisha,1,1,0.53,0.97,0.27,0.48,0.34,0.55,0.47,0.39,0.33,5,2019,State,urban/rural,All Households
Odisha,99,1,0.61,0.99,0.43,0.58,0.39,0.61,0.56,0.49,0.35,5,2019,State,All,All Households
Odisha,0,0,0.51,1,0.51,0.38,0.26,0.57,0.35,0.31,0.21,5,2019,State,urban/rural,All Households
Odisha,1,0,0.28,1,0.2,0.31,0.21,0.43,0.28,0.24,0.15,5,2019,State,urban/rural,All Households
Odisha,99,0,0.46,1,0.45,0.36,0.25,0.54,0.34,0.3,0.2,5,2019,State,All,All Households
Odisha,0,1,0.54,0.86,0.48,0.45,0.36,0.2,0.51,0.42,0.3,4,2015,State,urban/rural,All Households
Odisha,1,1,0.44,0.81,0.28,0.42,0.32,0.19,0.49,0.4,0.29,4,2015,State,urban/rural,All Households
Odisha,99,1,0.53,0.85,0.47,0.44,0.36,0.2,0.51,0.42,0.29,4,2015,State,All,All Households
Odisha,0,0,0.42,0.89,0.49,0.25,0.24,0.16,0.29,0.24,0.16,4,2015,State,urban/rural,All Households
Odisha,1,0,0.19,0.87,0.2,0.21,0.19,0.11,0.22,0.17,0.1,4,2015,State,urban/rural,All Households
Odisha,99,0,0.37,0.89,0.43,0.24,0.23,0.15,0.28,0.22,0.15,4,2015,State,All,All Households
Pondicherry,0,1,0.43,1,0.21,0.52,0.27,0.48,0.52,0.34,0.18,5,2019,State,urban/rural,All Households
Pondicherry,1,1,0.26,0.98,0.1,0.28,0.14,0.41,0.24,0.1,0.03,5,2019,State,urban/rural,All Households
Pondicherry,99,1,0.34,0.99,0.15,0.35,0.18,0.43,0.33,0.18,0.07,5,2019,State,All,All Households
Pondicherry,0,0,0.21,1,0.21,0.23,0.09,0.14,0.16,0.11,0.06,5,2019,State,urban/rural,All Households
Pondicherry,1,0,0.18,1,0.22,0.24,0.08,0.21,0.21,0.15,0.05,5,2019,State,urban/rural,All Households
Pondicherry,99,0,0.19,1,0.22,0.24,0.09,0.19,0.2,0.14,0.06,5,2019,State,All,All Households
Puducherry,0,1,0.21,0.95,0.17,0.36,0.12,0.27,0.37,0.24,0.14,4,2015,State,urban/rural,All Households
Puducherry,1,1,0.1,1,0.27,0.28,0.14,0.6,0.27,0.23,0.05,4,2015,State,urban/rural,All Households
Puducherry,99,1,0.17,0.97,0.21,0.33,0.13,0.4,0.33,0.23,0.1,4,2015,State,All,All Households
Puducherry,0,0,0.22,0.99,0.13,0.23,0.11,0.3,0.27,0.22,0.15,4,2015,State,urban/rural,All Households
Puducherry,1,0,0.22,0.97,0.21,0.21,0.11,0.32,0.21,0.15,0.07,4,2015,State,urban/rural,All Households
Puducherry,99,0,0.22,0.98,0.19,0.21,0.11,0.32,0.23,0.17,0.09,4,2015,State,All,All Households
Punjab,0,1,0.29,0.98,0.11,0.5,0.15,0.28,0.51,0.39,0.14,5,2019,State,urban/rural,All Households
Punjab,1,1,0.12,0.97,0.06,0.28,0.11,0.2,0.29,0.23,0.1,5,2019,State,urban/rural,All Households
Punjab,99,1,0.24,0.98,0.1,0.43,0.14,0.25,0.43,0.33,0.13,5,2019,State,All,All Households
Punjab,0,0,0.24,0.99,0.18,0.24,0.06,0.17,0.24,0.17,0.07,5,2019,State,urban/rural,All Households
Punjab,1,0,0.18,0.99,0.18,0.13,0.04,0.12,0.13,0.09,0.04,5,2019,State,urban/rural,All Households
Punjab,99,0,0.22,0.99,0.18,0.2,0.05,0.15,0.2,0.15,0.06,5,2019,State,All,All Households
Punjab,0,1,0.23,0.97,0.18,0.45,0.21,0.38,0.49,0.32,0.23,4,2015,State,urban/rural,All Households
Punjab,1,1,0.11,0.92,0.03,0.37,0.14,0.33,0.41,0.26,0.19,4,2015,State,urban/rural,All Households
Punjab,99,1,0.2,0.96,0.14,0.43,0.19,0.37,0.46,0.3,0.22,4,2015,State,All,All Households
Punjab,0,0,0.15,0.99,0.21,0.22,0.08,0.25,0.25,0.17,0.1,4,2015,State,urban/rural,All Households
Punjab,1,0,0.06,0.99,0.14,0.16,0.05,0.22,0.15,0.09,0.06,4,2015,State,urban/rural,All Households
Punjab,99,0,0.11,0.99,0.18,0.19,0.07,0.24,0.21,0.14,0.08,4,2015,State,All,All Households
Rajasthan,0,1,0.38,0.99,0.88,0.49,0.33,0.39,0.46,0.4,0.14,5,2019,State,urban/rural,All Households
Rajasthan,1,1,0.26,0.98,0.82,0.45,0.3,0.27,0.43,0.35,0.1,5,2019,State,urban/rural,All Households
Rajasthan,99,1,0.37,0.99,0.88,0.49,0.33,0.38,0.46,0.4,0.14,5,2019,State,All,All Households
Rajasthan,0,0,0.26,1,0.9,0.3,0.2,0.29,0.27,0.24,0.09,5,2019,State,urban/rural,All Households
Rajasthan,1,0,0.15,1,0.76,0.22,0.16,0.18,0.21,0.18,0.07,5,2019,State,urban/rural,All Households
Rajasthan,99,0,0.23,1,0.86,0.28,0.19,0.26,0.26,0.22,0.08,5,2019,State,All,All Households
Rajasthan,0,1,0.35,0.96,0.14,0.26,0.34,0.18,0.33,0.27,0.09,4,2015,State,urban/rural,All Households
Rajasthan,1,1,0.29,0.93,0.11,0.22,0.34,0.15,0.24,0.2,0.08,4,2015,State,urban/rural,All Households
Rajasthan,99,1,0.34,0.96,0.14,0.26,0.34,0.18,0.32,0.26,0.09,4,2015,State,All,All Households
Rajasthan,0,0,0.22,0.97,0.16,0.16,0.19,0.14,0.18,0.15,0.05,4,2015,State,urban/rural,All Households
Rajasthan,1,0,0.12,0.97,0.13,0.13,0.17,0.11,0.11,0.09,0.03,4,2015,State,urban/rural,All Households
Rajasthan,99,0,0.19,0.97,0.15,0.15,0.19,0.13,0.16,0.13,0.04,4,2015,State,All,All Households
Sikkim,0,1,0.57,0.95,0.09,0.43,0.11,0.38,0.46,0.29,0.12,5,2019,State,urban/rural,All Households
Sikkim,1,1,0.52,0.95,0,0.28,0.23,0.05,0.75,0.28,0,5,2019,State,urban/rural,All Households
Sikkim,99,1,0.57,0.95,0.09,0.42,0.12,0.36,0.48,0.29,0.11,5,2019,State,All,All Households
Sikkim,0,0,0.49,0.99,0.12,0.2,0.03,0.33,0.21,0.14,0.07,5,2019,State,urban/rural,All Households
Sikkim,1,0,0.39,0.97,0.12,0.14,0.02,0.14,0.18,0.12,0.06,5,2019,State,urban/rural,All Households
Sikkim,99,0,0.45,0.98,0.12,0.18,0.03,0.25,0.2,0.13,0.07,5,2019,State,All,All Households
Sikkim,0,1,0.53,0.92,0.17,0.4,0.29,0.17,0.45,0.3,0.12,4,2015,State,urban/rural,All Households
Sikkim,1,1,0.12,0.72,0.16,0.23,0.11,0.05,0.24,0.2,0.08,4,2015,State,urban/rural,All Households
Sikkim,99,1,0.45,0.88,0.17,0.36,0.25,0.15,0.4,0.28,0.11,4,2015,State,All,All Households
Sikkim,0,0,0.43,0.98,0.26,0.15,0.1,0.13,0.18,0.12,0.05,4,2015,State,urban/rural,All Households
Sikkim,1,0,0.14,0.95,0.24,0.08,0.04,0.1,0.09,0.05,0.02,4,2015,State,urban/rural,All Households
Sikkim,99,0,0.33,0.97,0.25,0.12,0.08,0.12,0.15,0.1,0.04,4,2015,State,All,All Households
Tamil Nadu,0,1,0.33,0.99,0.64,0.43,0.26,0.29,0.39,0.32,0.16,5,2019,State,urban/rural,All Households
Tamil Nadu,1,1,0.23,0.97,0.58,0.49,0.37,0.37,0.48,0.38,0.2,5,2019,State,urban/rural,All Households
Tamil Nadu,99,1,0.3,0.98,0.63,0.45,0.29,0.32,0.42,0.34,0.17,5,2019,State,All,All Households
Tamil Nadu,0,0,0.29,1,0.7,0.31,0.19,0.3,0.28,0.24,0.1,5,2019,State,urban/rural,All Households
Tamil Nadu,1,0,0.21,0.99,0.54,0.24,0.15,0.24,0.22,0.17,0.06,5,2019,State,urban/rural,All Households
Tamil Nadu,99,0,0.25,0.99,0.62,0.27,0.17,0.27,0.25,0.21,0.08,5,2019,State,All,All Households
Tamil Nadu,0,1,0.25,0.8,0.61,0.36,0.3,0.31,0.41,0.32,0.19,4,2015,State,urban/rural,All Households
Tamil Nadu,1,1,0.29,0.75,0.52,0.43,0.37,0.36,0.47,0.37,0.22,4,2015,State,urban/rural,All Households
Tamil Nadu,99,1,0.26,0.79,0.59,0.37,0.31,0.32,0.42,0.33,0.19,4,2015,State,All,All Households
Tamil Nadu,0,0,0.19,0.85,0.68,0.21,0.18,0.29,0.24,0.19,0.1,4,2015,State,urban/rural,All Households
Tamil Nadu,1,0,0.12,0.85,0.52,0.16,0.14,0.25,0.17,0.13,0.06,4,2015,State,urban/rural,All Households
Tamil Nadu,99,0,0.15,0.85,0.59,0.18,0.16,0.27,0.21,0.16,0.08,4,2015,State,All,All Households
Telangana,0,1,0.93,0.99,0.69,0.47,0.14,0.38,0.43,0.36,0.26,5,2019,State,urban/rural,All Households
Telangana,1,1,0.84,0.98,0.53,0.51,0.18,0.34,0.45,0.39,0.23,5,2019,State,urban/rural,All Households
Telangana,99,1,0.92,0.99,0.67,0.48,0.14,0.38,0.43,0.37,0.25,5,2019,State,All,All Households
Telangana,0,0,0.92,1,0.75,0.27,0.08,0.35,0.24,0.2,0.12,5,2019,State,urban/rural,All Households
Telangana,1,0,0.74,0.99,0.5,0.22,0.07,0.25,0.21,0.18,0.09,5,2019,State,urban/rural,All Households
Telangana,99,0,0.86,1,0.66,0.25,0.08,0.31,0.23,0.19,0.11,5,2019,State,All,All Households
Telangana,0,1,0.94,0.99,0.75,0.32,0.1,0.21,0.43,0.34,0.21,4,2015,State,urban/rural,All Households
Telangana,1,1,0.85,0.94,0.63,0.25,0.14,0.1,0.29,0.23,0.13,4,2015,State,urban/rural,All Households
Telangana,99,1,0.93,0.99,0.73,0.31,0.11,0.19,0.4,0.32,0.19,4,2015,State,All,All Households
Telangana,0,0,0.91,0.99,0.77,0.2,0.04,0.17,0.25,0.2,0.12,4,2015,State,urban/rural,All Households
Telangana,1,0,0.7,0.98,0.49,0.11,0.04,0.1,0.16,0.12,0.04,4,2015,State,urban/rural,All Households
Telangana,99,0,0.81,0.99,0.63,0.15,0.04,0.13,0.21,0.16,0.08,4,2015,State,All,All Households
Tripura,0,1,0.59,0.98,0.23,0.51,0.09,0.36,0.46,0.3,0.21,5,2019,State,urban/rural,All Households
Tripura,1,1,0.52,0.99,0.18,0.42,0.09,0.19,0.41,0.27,0.23,5,2019,State,urban/rural,All Households
Tripura,99,1,0.58,0.98,0.22,0.5,0.09,0.34,0.46,0.29,0.21,5,2019,State,All,All Households
Tripura,0,0,0.45,0.99,0.22,0.27,0.06,0.29,0.25,0.15,0.12,5,2019,State,urban/rural,All Households
Tripura,1,0,0.34,0.99,0.12,0.22,0.06,0.18,0.22,0.13,0.12,5,2019,State,urban/rural,All Households
Tripura,99,0,0.41,0.99,0.19,0.25,0.06,0.25,0.24,0.14,0.12,5,2019,State,All,All Households
Tripura,0,1,0.46,0.93,0.71,0.21,0.13,0.05,0.42,0.2,0.23,4,2015,State,urban/rural,All Households
Tripura,1,1,0.36,0.96,0.48,0.22,0.09,0.04,0.41,0.16,0.16,4,2015,State,urban/rural,All Households
Tripura,99,1,0.45,0.93,0.68,0.21,0.12,0.05,0.42,0.2,0.22,4,2015,State,All,All Households
Tripura,0,0,0.39,0.96,0.69,0.15,0.1,0.07,0.22,0.11,0.1,4,2015,State,urban/rural,All Households
Tripura,1,0,0.16,0.95,0.29,0.08,0.06,0.04,0.12,0.06,0.06,4,2015,State,urban/rural,All Households
Tripura,99,0,0.31,0.96,0.56,0.13,0.09,0.06,0.19,0.09,0.09,4,2015,State,All,All Households
Uttar Pradesh,0,1,0.4,0.99,0.02,0.57,0.32,0.51,0.55,0.49,0.18,5,2019,State,urban/rural,All Households
Uttar Pradesh,1,1,0.29,0.97,0.01,0.44,0.2,0.39,0.44,0.39,0.14,5,2019,State,urban/rural,All Households
Uttar Pradesh,99,1,0.39,0.98,0.02,0.55,0.31,0.49,0.54,0.48,0.17,5,2019,State,All,All Households
Uttar Pradesh,0,0,0.4,0.99,0.02,0.33,0.18,0.41,0.33,0.3,0.11,5,2019,State,urban/rural,All Households
Uttar Pradesh,1,0,0.24,0.99,0.03,0.22,0.09,0.28,0.24,0.21,0.08,5,2019,State,urban/rural,All Households
Uttar Pradesh,99,0,0.35,0.99,0.02,0.3,0.16,0.37,0.31,0.27,0.1,5,2019,State,All,All Households
Uttar Pradesh,0,1,0.32,0.7,0.04,0.3,0.27,0.2,0.35,0.27,0.06,4,2015,State,urban/rural,All Households
Uttar Pradesh,1,1,0.22,0.8,0.02,0.2,0.14,0.18,0.24,0.18,0.04,4,2015,State,urban/rural,All Households
Uttar Pradesh,99,1,0.31,0.71,0.04,0.29,0.26,0.2,0.34,0.26,0.06,4,2015,State,All,All Households
Uttar Pradesh,0,0,0.27,0.78,0.05,0.17,0.14,0.15,0.2,0.16,0.04,4,2015,State,urban/rural,All Households
Uttar Pradesh,1,0,0.13,0.89,0.04,0.11,0.07,0.12,0.1,0.08,0.02,4,2015,State,urban/rural,All Households
Uttar Pradesh,99,0,0.22,0.82,0.05,0.15,0.12,0.14,0.17,0.13,0.03,4,2015,State,All,All Households
Uttarakhand,0,1,0.53,0.99,0.06,0.6,0.2,0.36,0.52,0.42,0.17,5,2019,State,urban/rural,All Households
Uttarakhand,1,1,0.25,0.97,0.01,0.66,0.29,0.47,0.59,0.49,0.11,5,2019,State,urban/rural,All Households
Uttarakhand,99,1,0.48,0.99,0.05,0.61,0.22,0.38,0.53,0.43,0.15,5,2019,State,All,All Households
Uttarakhand,0,0,0.41,0.99,0.1,0.35,0.13,0.24,0.29,0.22,0.08,5,2019,State,urban/rural,All Households
Uttarakhand,1,0,0.18,0.99,0.14,0.31,0.11,0.24,0.27,0.21,0.07,5,2019,State,urban/rural,All Households
Uttarakhand,99,0,0.33,0.99,0.11,0.34,0.12,0.24,0.29,0.22,0.08,5,2019,State,All,All Households
Uttarakhand,0,1,0.52,0.46,0.15,0.27,0.22,0.2,0.47,0.24,0.11,4,2015,State,urban/rural,All Households
Uttarakhand,1,1,0.25,0.59,0.05,0.35,0.28,0.2,0.53,0.25,0.09,4,2015,State,urban/rural,All Households
Uttarakhand,99,1,0.48,0.48,0.14,0.29,0.23,0.2,0.48,0.24,0.11,4,2015,State,All,All Households
Uttarakhand,0,0,0.38,0.56,0.18,0.16,0.14,0.15,0.25,0.13,0.05,4,2015,State,urban/rural,All Households
Uttarakhand,1,0,0.12,0.77,0.14,0.14,0.12,0.12,0.19,0.08,0.04,4,2015,State,urban/rural,All Households
Uttarakhand,99,0,0.28,0.64,0.16,0.15,0.13,0.14,0.23,0.11,0.05,4,2015,State,All,All Households
West Bengal,0,1,0.67,0.98,0.28,0.5,0.23,0.48,0.5,0.28,0.33,5,2019,State,urban/rural,All Households
West Bengal,1,1,0.49,0.98,0.15,0.43,0.19,0.47,0.47,0.29,0.28,5,2019,State,urban/rural,All Households
West Bengal,99,1,0.65,0.98,0.26,0.5,0.22,0.48,0.5,0.28,0.32,5,2019,State,All,All Households
West Bengal,0,0,0.5,0.99,0.31,0.32,0.12,0.46,0.31,0.18,0.21,5,2019,State,urban/rural,All Households
West Bengal,1,0,0.32,0.99,0.2,0.19,0.07,0.31,0.19,0.1,0.11,5,2019,State,urban/rural,All Households
West Bengal,99,0,0.43,0.99,0.27,0.27,0.1,0.4,0.27,0.16,0.17,5,2019,State,All,All Households
West Bengal,0,1,0.51,0.71,0.4,0.39,0.15,0.27,0.5,0.29,0.29,4,2015,State,urban/rural,All Households
West Bengal,1,1,0.4,0.7,0.28,0.32,0.11,0.3,0.43,0.2,0.24,4,2015,State,urban/rural,All Households
West Bengal,99,1,0.5,0.71,0.38,0.38,0.14,0.27,0.49,0.27,0.28,4,2015,State,All,All Households
West Bengal,0,0,0.34,0.74,0.33,0.21,0.08,0.21,0.28,0.16,0.15,4,2015,State,urban/rural,All Households
West Bengal,1,0,0.23,0.77,0.18,0.14,0.05,0.15,0.18,0.1,0.08,4,2015,State,urban/rural,All Households
West Bengal,99,0,0.3,0.75,0.27,0.19,0.07,0.19,0.25,0.14,0.13,4,2015,State,All,All Households
